NOP_method,LOC_method,NOLV_method,NOAV_method,NOM_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,CBO_type,RFC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,LOC_package,NOM_package,is_long_parameters_list
3.0,4.0,3.0,4.0,8.0,6.0,8.0,2.0,99.0,44.0,44.0,94.0,0.133333333,34.0,196.0,9.0,0.857142857,1.0,9.0,1.125,1.125,16.0,76.0,921.0,92.0,0.0
4.0,51.0,16.0,24.0,18.0,31.0,18.0,14.0,0.0,399.0,399.0,2090.0,0.857142857,30.0,81.0,45.0,0.903361345,1.0,45.0,2.5,2.5,57.0,132.0,2362.0,136.0,0.0
3.0,4.0,3.0,5.0,6.0,4.0,6.0,0.0,5.0,42.0,42.0,57.0,0.0,12.0,24.0,7.0,0.0,1.0,7.0,1.166666667,1.166666667,57.0,132.0,2362.0,136.0,0.0
3.0,4.0,3.0,3.0,9.0,7.0,9.0,1.0,99.0,72.0,72.0,126.0,0.0,34.0,198.0,12.0,1.0,1.0,12.0,1.333333333,1.333333333,38.0,198.0,4223.0,240.0,0.0
4.0,23.0,5.0,5.0,5.0,3.0,5.0,0.0,42.0,66.0,66.0,61.0,0.0,11.0,60.0,18.0,0.0,1.0,18.0,3.6,3.6,38.0,198.0,4223.0,240.0,0.0
3.0,12.0,3.0,8.0,30.0,10.0,22.0,8.0,111.0,377.0,310.0,1214.0,0.057142857000000005,32.0,208.0,61.0,0.943965517,0.681818182,51.0,2.0333333330000003,2.3181818180000002,38.0,198.0,4223.0,240.0,0.0
3.0,5.0,3.0,4.0,123.0,138.0,94.0,108.0,77.0,1957.0,1669.0,51801.0,0.012612613,145.0,571.0,273.0,0.9921068609999999,0.404145078,234.0,2.219512195,2.489361702,38.0,198.0,4223.0,240.0,0.0
4.0,6.0,6.0,7.0,7.0,0.0,7.0,1.0,0.0,44.0,44.0,35.0,1.0,3.0,12.0,13.0,0.0,1.0,13.0,1.857142857,1.857142857,78.0,182.0,3615.0,233.0,1.0
3.0,11.0,6.0,6.0,48.0,25.0,39.0,54.0,534.0,1116.0,1063.0,1992.0,0.054054054000000004,23.0,104.0,115.0,0.994877857,0.402777778,105.0,2.395833333,2.692307692,50.0,388.0,8258.0,437.0,0.0
4.0,23.0,6.0,8.0,90.0,1.0,83.0,18.0,0.0,2829.0,2637.0,54.0,0.042455535999999995,1.0,91.0,252.0,0.971910112,0.845070423,242.0,2.8,2.9156626510000003,50.0,388.0,8258.0,437.0,0.0
4.0,30.0,7.0,8.0,90.0,1.0,83.0,18.0,0.0,2829.0,2637.0,54.0,0.042455535999999995,1.0,91.0,252.0,0.971910112,0.845070423,242.0,2.8,2.9156626510000003,50.0,388.0,8258.0,437.0,0.0
3.0,20.0,10.0,11.0,9.0,10.0,9.0,2.0,15.0,158.0,158.0,346.0,0.666666667,10.0,36.0,24.0,0.6875,1.0,24.0,2.666666667,2.666666667,74.0,380.0,5031.0,435.0,0.0
3.0,4.0,3.0,0.0,63.0,0.0,43.0,4.0,-1.0,192.0,119.0,0.0,0.0,11.0,63.0,63.0,1.016129032,0.0,43.0,1.0,1.0,74.0,380.0,5031.0,435.0,0.0
3.0,28.0,8.0,9.0,9.0,9.0,8.0,2.0,15.0,118.0,101.0,280.0,0.4,10.0,31.0,22.0,0.75,0.857142857,19.0,2.444444444,2.375,74.0,380.0,5031.0,435.0,0.0
3.0,4.0,3.0,5.0,9.0,9.0,9.0,4.0,17.0,77.0,77.0,152.0,0.166666667,12.0,30.0,12.0,0.9375,1.0,12.0,1.333333333,1.333333333,74.0,380.0,5031.0,435.0,0.0
3.0,90.0,7.0,16.0,15.0,4.0,14.0,13.0,538.0,573.0,568.0,94.0,0.095238095,1.0,21.0,40.0,0.972527473,0.8888888890000001,39.0,2.666666667,2.785714286,18.0,37.0,2462.0,40.0,0.0
3.0,20.0,3.0,5.0,10.0,2.0,4.0,7.0,6.0,90.0,58.0,53.0,0.222222222,2.0,19.0,13.0,0.920634921,0.4,7.0,1.3,1.75,18.0,37.0,2462.0,40.0,0.0
3.0,26.0,7.0,7.0,98.0,21.0,71.0,23.0,516.0,1350.0,995.0,9678.0,0.071103983,23.0,185.0,277.0,0.980277902,0.6,203.0,2.826530612,2.85915493,59.0,322.0,6298.0,410.0,0.0
3.0,4.0,4.0,3.0,5.0,4.0,5.0,1.0,17.0,51.0,51.0,71.0,0.0,6.0,33.0,7.0,1.0,1.0,7.0,1.4,1.4,59.0,322.0,6298.0,410.0,0.0
3.0,27.0,10.0,12.0,5.0,5.0,5.0,3.0,17.0,90.0,90.0,116.0,0.0,7.0,39.0,10.0,1.083333333,1.0,10.0,2.0,2.0,59.0,322.0,6298.0,410.0,0.0
3.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,-1.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,12.0,237.0,12.0,0.0
7.0,29.0,9.0,14.0,2.0,2.0,2.0,3.0,576.0,37.0,37.0,2.0,1.0,2.0,5.0,5.0,1.0,1.0,5.0,2.5,2.5,57.0,132.0,2362.0,136.0,1.0
7.0,19.0,15.0,15.0,14.0,5.0,12.0,4.0,0.0,153.0,139.0,166.0,0.109090909,5.0,23.0,23.0,0.923076923,0.857142857,20.0,1.642857143,1.6666666669999999,59.0,322.0,6298.0,410.0,1.0
8.0,10.0,11.0,11.0,6.0,0.0,6.0,0.0,0.0,150.0,150.0,0.0,1.0,0.0,6.0,22.0,0.0,1.0,22.0,3.666666667,3.666666667,59.0,322.0,6298.0,410.0,1.0
10.0,11.0,13.0,13.0,6.0,0.0,6.0,0.0,0.0,150.0,150.0,0.0,1.0,0.0,6.0,22.0,0.0,1.0,22.0,3.666666667,3.666666667,59.0,322.0,6298.0,410.0,1.0
7.0,10.0,7.0,14.0,4.0,4.0,3.0,12.0,0.0,157.0,149.0,48.0,1.0,3.0,13.0,10.0,0.833333333,0.4,9.0,2.5,3.0,30.0,76.0,1343.0,128.0,1.0
0.0,20.0,1.0,7.0,29.0,25.0,29.0,4.0,0.0,1371.0,1371.0,4344.0,0.0,27.0,87.0,328.0,0.7232142859999999,1.0,328.0,11.31034483,11.31034483,8.0,97.0,2639.0,106.0,0.0
1.0,7.0,1.0,1.0,29.0,25.0,29.0,4.0,0.0,1371.0,1371.0,4344.0,0.0,27.0,87.0,328.0,0.7232142859999999,1.0,328.0,11.31034483,11.31034483,8.0,97.0,2639.0,106.0,0.0
2.0,3.0,2.0,2.0,4.0,0.0,4.0,0.0,15.0,18.0,18.0,24.0,1.0,1.0,9.0,4.0,0.0,1.0,4.0,1.0,1.0,8.0,97.0,2639.0,106.0,0.0
0.0,3.0,0.0,1.0,32.0,1.0,24.0,11.0,0.0,590.0,550.0,72.0,0.19166666699999999,3.0,34.0,174.0,0.7771260999999999,0.578947368,166.0,5.4375,6.916666667,8.0,97.0,2639.0,106.0,0.0
1.0,7.0,1.0,3.0,24.0,0.0,24.0,2.0,0.0,669.0,669.0,0.0,0.0,1.0,24.0,251.0,1.0,0.923076923,251.0,10.45833333,10.45833333,5.0,33.0,943.0,34.0,0.0
1.0,22.0,3.0,3.0,24.0,0.0,24.0,2.0,0.0,669.0,669.0,0.0,0.0,1.0,24.0,251.0,1.0,0.923076923,251.0,10.45833333,10.45833333,5.0,33.0,943.0,34.0,0.0
0.0,17.0,6.0,7.0,5.0,1.0,5.0,1.0,0.0,174.0,174.0,10.0,0.1,1.0,6.0,45.0,0.75,1.0,45.0,9.0,9.0,5.0,33.0,943.0,34.0,0.0
1.0,3.0,1.0,1.0,5.0,1.0,5.0,1.0,0.0,174.0,174.0,10.0,0.1,1.0,6.0,45.0,0.75,1.0,45.0,9.0,9.0,5.0,33.0,943.0,34.0,0.0
1.0,4.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,11.0,11.0,5.0,1.0,2.0,3.0,2.0,1.0,0.666666667,2.0,1.0,1.0,32.0,40.0,1690.0,42.0,0.0
1.0,12.0,6.0,9.0,31.0,4.0,31.0,2.0,0.0,828.0,828.0,1106.0,0.0,36.0,44.0,213.0,0.666666667,1.0,213.0,6.870967742,6.870967742,3.0,54.0,1422.0,54.0,0.0
1.0,4.0,2.0,2.0,31.0,4.0,31.0,2.0,0.0,828.0,828.0,1106.0,0.0,36.0,44.0,213.0,0.666666667,1.0,213.0,6.870967742,6.870967742,3.0,54.0,1422.0,54.0,0.0
0.0,48.0,3.0,17.0,21.0,31.0,21.0,17.0,0.0,569.0,569.0,764.0,1.0,35.0,53.0,91.0,0.9117647059999999,1.0,91.0,4.333333333,4.333333333,3.0,54.0,1422.0,54.0,0.0
0.0,10.0,1.0,4.0,21.0,31.0,21.0,17.0,0.0,569.0,569.0,764.0,1.0,35.0,53.0,91.0,0.9117647059999999,1.0,91.0,4.333333333,4.333333333,3.0,54.0,1422.0,54.0,0.0
1.0,15.0,7.0,7.0,21.0,31.0,21.0,17.0,0.0,569.0,569.0,764.0,1.0,35.0,53.0,91.0,0.9117647059999999,1.0,91.0,4.333333333,4.333333333,3.0,54.0,1422.0,54.0,0.0
1.0,3.0,1.0,1.0,21.0,31.0,21.0,17.0,0.0,569.0,569.0,764.0,1.0,35.0,53.0,91.0,0.9117647059999999,1.0,91.0,4.333333333,4.333333333,3.0,54.0,1422.0,54.0,0.0
5.0,48.0,6.0,17.0,29.0,25.0,29.0,4.0,0.0,1371.0,1371.0,4344.0,0.0,27.0,87.0,328.0,0.7232142859999999,1.0,328.0,11.31034483,11.31034483,8.0,97.0,2639.0,106.0,1.0
4.0,4.0,4.0,5.0,2.0,0.0,2.0,1.0,0.0,14.0,14.0,3.0,1.0,1.0,3.0,2.0,2.0,0.666666667,2.0,1.0,1.0,8.0,97.0,2639.0,106.0,0.0
4.0,3.0,4.0,4.0,4.0,0.0,4.0,0.0,15.0,18.0,18.0,24.0,1.0,1.0,9.0,4.0,0.0,1.0,4.0,1.0,1.0,8.0,97.0,2639.0,106.0,1.0
3.0,3.0,3.0,3.0,4.0,0.0,4.0,0.0,15.0,18.0,18.0,24.0,1.0,1.0,9.0,4.0,0.0,1.0,4.0,1.0,1.0,8.0,97.0,2639.0,106.0,0.0
3.0,14.0,6.0,9.0,25.0,14.0,24.0,6.0,0.0,312.0,304.0,670.0,0.833333333,15.0,41.0,62.0,0.7013888890000001,0.923076923,61.0,2.48,2.541666667,8.0,97.0,2639.0,106.0,1.0
4.0,14.0,7.0,10.0,25.0,14.0,24.0,6.0,0.0,312.0,304.0,670.0,0.833333333,15.0,41.0,62.0,0.7013888890000001,0.923076923,61.0,2.48,2.541666667,8.0,97.0,2639.0,106.0,1.0
4.0,14.0,7.0,10.0,25.0,14.0,24.0,6.0,0.0,312.0,304.0,670.0,0.833333333,15.0,41.0,62.0,0.7013888890000001,0.923076923,61.0,2.48,2.541666667,8.0,97.0,2639.0,106.0,1.0
3.0,19.0,7.0,10.0,25.0,14.0,24.0,6.0,0.0,312.0,304.0,670.0,0.833333333,15.0,41.0,62.0,0.7013888890000001,0.923076923,61.0,2.48,2.541666667,8.0,97.0,2639.0,106.0,1.0
3.0,5.0,3.0,5.0,6.0,0.0,6.0,1.0,14.0,50.0,50.0,0.0,1.0,0.0,6.0,13.0,0.6,1.0,13.0,2.166666667,2.166666667,8.0,97.0,2639.0,106.0,0.0
5.0,11.0,6.0,13.0,32.0,1.0,24.0,11.0,0.0,590.0,550.0,72.0,0.19166666699999999,3.0,34.0,174.0,0.7771260999999999,0.578947368,166.0,5.4375,6.916666667,8.0,97.0,2639.0,106.0,1.0
3.0,3.0,3.0,0.0,32.0,1.0,24.0,11.0,0.0,590.0,550.0,72.0,0.19166666699999999,3.0,34.0,174.0,0.7771260999999999,0.578947368,166.0,5.4375,6.916666667,8.0,97.0,2639.0,106.0,0.0
4.0,3.0,4.0,4.0,32.0,1.0,24.0,11.0,0.0,590.0,550.0,72.0,0.19166666699999999,3.0,34.0,174.0,0.7771260999999999,0.578947368,166.0,5.4375,6.916666667,8.0,97.0,2639.0,106.0,1.0
3.0,11.0,5.0,5.0,24.0,0.0,24.0,2.0,0.0,669.0,669.0,0.0,0.0,1.0,24.0,251.0,1.0,0.923076923,251.0,10.45833333,10.45833333,5.0,33.0,943.0,34.0,0.0
3.0,5.0,3.0,6.0,1.0,0.0,1.0,2.0,0.0,23.0,23.0,3.0,1.0,2.0,2.0,1.0,0.0,0.333333333,1.0,1.0,1.0,32.0,40.0,1690.0,42.0,0.0
4.0,6.0,4.0,8.0,1.0,0.0,1.0,4.0,0.0,16.0,16.0,0.0,1.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,1.0,32.0,40.0,1690.0,42.0,1.0
3.0,5.0,3.0,6.0,1.0,0.0,1.0,2.0,0.0,11.0,11.0,3.0,1.0,2.0,2.0,1.0,0.0,0.333333333,1.0,1.0,1.0,32.0,40.0,1690.0,42.0,0.0
4.0,6.0,4.0,8.0,1.0,0.0,1.0,4.0,0.0,16.0,16.0,0.0,1.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,1.0,32.0,40.0,1690.0,42.0,1.0
3.0,5.0,3.0,6.0,2.0,0.0,2.0,3.0,0.0,22.0,22.0,0.0,1.0,0.0,2.0,2.0,2.0,0.4,2.0,1.0,1.0,32.0,40.0,1690.0,42.0,0.0
3.0,5.0,3.0,6.0,1.0,0.0,1.0,2.0,0.0,32.0,32.0,3.0,1.0,2.0,2.0,1.0,0.0,0.333333333,1.0,1.0,1.0,32.0,40.0,1690.0,42.0,0.0
5.0,7.0,5.0,10.0,1.0,0.0,1.0,5.0,0.0,20.0,20.0,0.0,1.0,1.0,1.0,1.0,0.0,0.166666667,1.0,1.0,1.0,32.0,40.0,1690.0,42.0,1.0
3.0,26.0,5.0,10.0,31.0,4.0,31.0,2.0,0.0,828.0,828.0,1106.0,0.0,36.0,44.0,213.0,0.666666667,1.0,213.0,6.870967742,6.870967742,3.0,54.0,1422.0,54.0,0.0
9.0,12.0,9.0,18.0,2.0,0.0,2.0,8.0,0.0,76.0,76.0,8.0,1.0,2.0,3.0,2.0,2.0,0.2,2.0,1.0,1.0,32.0,40.0,1690.0,42.0,1.0
2.0,6.0,2.0,3.0,10.0,3.0,8.0,5.0,48.0,115.0,95.0,74.0,0.035714286,23.0,81.0,11.0,0.977777778,0.666666667,9.0,1.1,1.125,74.0,1060.0,22173.0,1956.0,0.0
1.0,16.0,1.0,9.0,17.0,5.0,11.0,6.0,-1.0,181.0,127.0,270.0,0.104761905,12.0,29.0,20.0,0.9375,-1.0,14.0,1.176470588,1.2727272729999999,74.0,1060.0,22173.0,1956.0,0.0
0.0,4.0,0.0,4.0,201.0,18.0,79.0,64.0,31.0,1849.0,791.0,30542.0,0.08776204300000001,33.0,336.0,223.0,0.99046875,0.39,93.0,1.109452736,1.17721519,74.0,1060.0,22173.0,1956.0,0.0
0.0,11.0,1.0,1.0,10.0,4.0,5.0,7.0,0.0,131.0,79.0,88.0,0.047619048,7.0,17.0,13.0,0.9841269840000001,0.25,7.0,1.3,1.4,74.0,1060.0,22173.0,1956.0,0.0
0.0,4.0,0.0,1.0,16.0,4.0,11.0,10.0,0.0,401.0,347.0,64.0,0.35164835200000005,4.0,22.0,47.0,0.8866666670000001,0.6,38.0,2.9375,3.454545455,96.0,756.0,17329.0,801.0,0.0
0.0,5.0,0.0,2.0,52.0,6.0,51.0,12.0,0.0,619.0,613.0,560.0,0.032156863,5.0,63.0,106.0,0.968954248,0.8888888890000001,105.0,2.038461538,2.058823529,96.0,756.0,17329.0,801.0,0.0
1.0,9.0,1.0,2.0,28.0,1.0,26.0,2.0,-1.0,188.0,162.0,54.0,0.005291005,25.0,29.0,29.0,0.962962963,-1.0,27.0,1.035714286,1.038461538,48.0,1247.0,18514.0,1653.0,0.0
0.0,4.0,0.0,1.0,5.0,0.0,3.0,4.0,4.0,85.0,50.0,17.0,0.5,5.0,13.0,8.0,0.9375,0.5,4.0,1.6,1.333333333,48.0,1247.0,18514.0,1653.0,0.0
1.0,1.0,1.0,0.0,13.0,0.0,9.0,7.0,-1.0,121.0,96.0,0.0,0.0,4.0,13.0,13.0,1.083333333,0.0,9.0,1.0,1.0,48.0,1247.0,18514.0,1653.0,0.0
0.0,4.0,0.0,1.0,51.0,1.0,36.0,1.0,-1.0,277.0,183.0,1879.0,0.43102040799999997,18.0,85.0,52.0,0.36,-1.0,37.0,1.019607843,1.027777778,48.0,1247.0,18514.0,1653.0,0.0
0.0,1.0,0.0,0.0,11.0,0.0,11.0,0.0,-1.0,103.0,103.0,0.0,0.0,8.0,11.0,11.0,0.0,0.0,11.0,1.0,1.0,7.0,56.0,966.0,80.0,0.0
0.0,8.0,0.0,2.0,4.0,4.0,3.0,8.0,0.0,116.0,53.0,106.0,1.0,5.0,17.0,14.0,1.166666667,1.0,3.0,3.5,1.0,46.0,268.0,8188.0,296.0,0.0
1.0,24.0,2.0,5.0,35.0,49.0,30.0,33.0,47.0,2656.0,2459.0,9148.0,0.258064516,84.0,275.0,262.0,0.9616755790000001,0.4,231.0,7.485714286,7.7,81.0,516.0,21006.0,599.0,0.0
0.0,5.0,0.0,1.0,3.0,0.0,3.0,1.0,34.0,23.0,23.0,0.0,1.0,6.0,46.0,3.0,0.0,1.0,3.0,1.0,1.0,24.0,157.0,2316.0,198.0,0.0
0.0,4.0,0.0,1.0,30.0,4.0,30.0,2.0,0.0,269.0,269.0,963.0,0.86453202,15.0,60.0,33.0,0.568965517,1.0,33.0,1.1,1.1,21.0,154.0,3573.0,263.0,0.0
3.0,26.0,5.0,6.0,79.0,70.0,76.0,8.0,28.0,1527.0,1481.0,12421.0,0.078947368,133.0,185.0,231.0,0.951923077,0.953125,225.0,2.9240506330000002,2.960526316,184.0,2134.0,45362.0,3035.0,0.0
3.0,11.0,3.0,5.0,8.0,9.0,7.0,3.0,0.0,92.0,57.0,106.0,0.28571428600000004,12.0,21.0,11.0,0.857142857,0.857142857,7.0,1.375,1.0,184.0,2134.0,45362.0,3035.0,0.0
3.0,40.0,11.0,13.0,5.0,2.0,5.0,1.0,2.0,107.0,107.0,62.0,0.0,5.0,13.0,13.0,1.0,1.0,13.0,2.6,2.6,184.0,2134.0,45362.0,3035.0,0.0
3.0,8.0,3.0,3.0,16.0,4.0,13.0,0.0,111.0,214.0,177.0,210.0,0.0,43.0,195.0,27.0,0.0,0.666666667,23.0,1.6875,1.769230769,184.0,2134.0,45362.0,3035.0,0.0
3.0,11.0,3.0,9.0,16.0,9.0,11.0,7.0,0.0,214.0,184.0,805.0,0.384615385,18.0,52.0,28.0,0.8666666670000001,0.5,23.0,1.75,2.090909091,184.0,2134.0,45362.0,3035.0,0.0
3.0,20.0,4.0,4.0,5.0,1.0,5.0,1.0,2.0,71.0,71.0,34.0,0.0,5.0,11.0,11.0,1.0,1.0,11.0,2.2,2.2,184.0,2134.0,45362.0,3035.0,0.0
3.0,6.0,4.0,5.0,45.0,6.0,45.0,16.0,0.0,930.0,930.0,1002.0,0.127906977,5.0,61.0,97.0,0.982954545,0.74,97.0,2.155555556,2.155555556,96.0,756.0,17329.0,801.0,0.0
3.0,25.0,4.0,8.0,143.0,112.0,143.0,8.0,0.0,3849.0,3849.0,129220.0,0.003740065,143.0,685.0,478.0,0.9859154929999999,1.0,478.0,3.342657343,3.342657343,96.0,756.0,17329.0,801.0,0.0
3.0,33.0,8.0,12.0,19.0,8.0,19.0,36.0,0.0,815.0,815.0,322.0,0.054945055,9.0,36.0,115.0,0.969135802,1.0,115.0,6.052631579,6.052631579,96.0,756.0,17329.0,801.0,0.0
3.0,7.0,6.0,10.0,1.0,2.0,1.0,0.0,11.0,12.0,12.0,4.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,134.0,386.0,12585.0,409.0,0.0
3.0,16.0,5.0,5.0,13.0,4.0,13.0,4.0,8.0,216.0,216.0,170.0,0.060606060999999996,12.0,80.0,25.0,0.9375,0.8888888890000001,25.0,1.9230769230000002,1.9230769230000002,134.0,386.0,12585.0,409.0,0.0
4.0,6.0,4.0,8.0,14.0,4.0,7.0,9.0,0.0,124.0,82.0,112.0,0.036363636,7.0,27.0,14.0,0.982905983,0.46153846200000004,7.0,1.0,1.0,70.0,686.0,18923.0,1266.0,0.0
3.0,11.0,4.0,4.0,25.0,4.0,25.0,0.0,0.0,545.0,545.0,1728.0,0.0,6.0,41.0,25.0,0.0,1.0,25.0,1.0,1.0,48.0,1247.0,18514.0,1653.0,0.0
3.0,36.0,7.0,12.0,8.0,20.0,6.0,3.0,80.0,295.0,277.0,560.0,0.0,84.0,264.0,28.0,1.0,0.0,26.0,3.5,4.333333333,21.0,130.0,3603.0,140.0,0.0
3.0,39.0,9.0,19.0,47.0,39.0,39.0,20.0,79.0,1913.0,1812.0,4405.0,0.154654655,82.0,279.0,240.0,0.959782609,0.75,227.0,5.106382979,5.820512821,81.0,516.0,21006.0,599.0,0.0
5.0,14.0,5.0,10.0,20.0,2.0,4.0,12.0,-1.0,169.0,60.0,16.0,0.09356725099999999,6.0,23.0,23.0,0.9649122809999999,-1.0,5.0,1.15,1.25,81.0,516.0,21006.0,599.0,1.0
4.0,29.0,8.0,13.0,27.0,18.0,19.0,16.0,0.0,925.0,683.0,3010.0,0.27450980399999997,18.0,93.0,139.0,0.913461538,0.6,91.0,5.148148148,4.789473684,81.0,516.0,21006.0,599.0,0.0
3.0,4.0,3.0,2.0,3.0,1.0,3.0,0.0,0.0,17.0,17.0,8.0,0.0,1.0,4.0,3.0,0.0,-1.0,3.0,1.0,1.0,81.0,516.0,21006.0,599.0,0.0
5.0,99.0,12.0,14.0,9.0,19.0,9.0,1.0,4.0,472.0,472.0,559.0,0.0,30.0,63.0,73.0,1.0,1.0,73.0,8.111111111,8.111111111,19.0,97.0,2553.0,103.0,1.0
3.0,17.0,4.0,4.0,97.0,32.0,57.0,40.0,61.0,1622.0,1230.0,8741.0,0.104240766,55.0,247.0,229.0,0.9697916670000001,0.37662337700000004,182.0,2.3608247419999997,3.192982456,12.0,88.0,2918.0,201.0,0.0
4.0,55.0,4.0,30.0,9.0,18.0,9.0,15.0,0.0,273.0,273.0,1324.0,1.0,21.0,92.0,22.0,1.0,0.0625,22.0,2.444444444,2.444444444,21.0,154.0,3573.0,263.0,0.0
11.0,46.0,12.0,11.0,143.0,112.0,143.0,8.0,0.0,3849.0,3849.0,129220.0,0.003740065,143.0,685.0,478.0,0.9859154929999999,1.0,478.0,3.342657343,3.342657343,96.0,756.0,17329.0,801.0,1.0
16.0,37.0,16.0,24.0,5.0,4.0,5.0,0.0,0.0,174.0,174.0,322.0,0.0,4.0,42.0,21.0,0.0,1.0,21.0,4.2,4.2,96.0,756.0,17329.0,801.0,1.0
8.0,22.0,8.0,8.0,10.0,1.0,8.0,10.0,0.0,155.0,142.0,66.0,0.7333333329999999,2.0,13.0,12.0,0.7666666670000001,0.6,10.0,1.2,1.25,81.0,516.0,21006.0,599.0,1.0
7.0,21.0,7.0,7.0,10.0,1.0,8.0,10.0,0.0,155.0,142.0,66.0,0.7333333329999999,2.0,13.0,12.0,0.7666666670000001,0.6,10.0,1.2,1.25,81.0,516.0,21006.0,599.0,1.0
7.0,173.0,15.0,44.0,38.0,39.0,30.0,22.0,79.0,1735.0,1564.0,2873.0,0.238636364,84.0,276.0,222.0,0.9361179359999999,0.5,194.0,5.842105263,6.466666667,81.0,516.0,21006.0,599.0,1.0
7.0,13.0,8.0,8.0,38.0,39.0,30.0,22.0,79.0,1735.0,1564.0,2873.0,0.238636364,84.0,276.0,222.0,0.9361179359999999,0.5,194.0,5.842105263,6.466666667,81.0,516.0,21006.0,599.0,1.0
7.0,21.0,7.0,7.0,11.0,1.0,9.0,10.0,0.0,162.0,149.0,68.0,0.6190476189999999,2.0,14.0,13.0,0.79,0.8,11.0,1.181818182,1.222222222,81.0,516.0,21006.0,599.0,1.0
