NOAM_type,NOCS_type,NOM_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,CBO_type,RFC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,number_private_visibility_attributes,number_protected_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_not_abstract_not_final_methods,number_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,is_god_class
0.0,0.0,1.0,5.0,1.0,1.0,3.0,32.0,35.0,35.0,3.0,1.0,6.0,52.0,5.0,0.0,0.25,5.0,5.0,5.0,20.0,72.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,2.0,0.0,1.0,2.0,1.0,32.0,15.0,15.0,1.0,1.0,5.0,51.0,2.0,1.0,0.5,2.0,1.0,1.0,20.0,72.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0
0.0,0.0,6.0,2.0,5.0,6.0,7.0,30.0,70.0,70.0,13.0,0.2,7.0,52.0,30.0,0.9,1.0,30.0,5.0,5.0,20.0,72.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,3.0,0.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,0.0
0.0,0.0,5.0,5.0,1.0,5.0,19.0,32.0,83.0,83.0,6.0,1.0,5.0,57.0,21.0,1.0,0.05,21.0,4.2,4.2,20.0,72.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,4.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0
0.0,0.0,3.0,0.0,2.0,3.0,1.0,32.0,20.0,20.0,2.0,1.0,5.0,52.0,3.0,1.0,0.5,3.0,1.0,1.0,20.0,72.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0
0.0,0.0,5.0,4.0,3.0,5.0,1.0,25.0,49.0,49.0,6.0,0.1,5.0,44.0,8.0,0.75,0.5,8.0,1.6,1.6,40.0,171.0,1752.0,182.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,5.0,5.0,0.0
0.0,0.0,7.0,0.0,2.0,7.0,0.0,26.0,51.0,51.0,3.0,0.0,5.0,45.0,11.0,0.0,1.0,11.0,1.5714290000000002,1.5714290000000002,40.0,171.0,1752.0,182.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,3.0,3.0,4.0,7.0,0.0
0.0,0.0,7.0,5.0,2.0,7.0,4.0,0.0,72.0,72.0,7.0,0.714286,3.0,14.0,11.0,0.708333,0.5,11.0,1.5714290000000002,1.5714290000000002,40.0,171.0,1752.0,182.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,3.0,8.0,1.0,1.0,7.0,7.0,0.0
0.0,0.0,10.0,5.0,3.0,10.0,2.0,22.0,98.0,98.0,12.0,0.13333299999999998,5.0,48.0,23.0,0.8888889999999999,1.0,23.0,2.3,2.3,40.0,171.0,1752.0,182.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,2.0,0.0,0.0,0.0,2.0,6.0,0.0,4.0,10.0,0.0,0.0,10.0,10.0,1.0
0.0,0.0,11.0,0.0,0.0,11.0,2.0,6.0,70.0,70.0,0.0,0.622222,0.0,11.0,19.0,0.7,1.0,19.0,1.727273,1.727273,40.0,171.0,1752.0,182.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,2.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,11.0,3.0,3.0,8.0,10.0,0.0
0.0,0.0,7.0,1.0,3.0,7.0,3.0,25.0,65.0,65.0,7.0,0.9523809999999999,5.0,46.0,13.0,0.5,0.833333,13.0,1.857143,1.857143,40.0,171.0,1752.0,182.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,2.0,0.0,2.0,0.0,1.0,5.0,0.0,2.0,7.0,0.0,0.0,7.0,7.0,0.0
1.0,17.0,11.0,0.0,18.0,10.0,5.0,0.0,244.0,239.0,18.0,0.345455,1.0,29.0,33.0,0.8,0.6,32.0,3.0,3.2,40.0,171.0,1752.0,182.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,1.0,12.0,4.0,4.0,8.0,10.0,0.0
1.0,1.0,27.0,7.0,5.0,26.0,7.0,0.0,283.0,278.0,13.0,0.39076900000000003,4.0,40.0,55.0,0.9615379999999999,0.758621,54.0,2.0370369999999998,2.076923,40.0,171.0,1752.0,182.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,1.0,0.0,4.0,0.0,3.0,24.0,1.0,3.0,28.0,3.0,3.0,25.0,26.0,1.0
0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,19.0,19.0,0.0,1.0,0.0,2.0,3.0,0.5,1.0,3.0,1.5,1.5,40.0,171.0,1752.0,182.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,1.0,2.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,40.0,171.0,1752.0,182.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,5.0,5.0,0.0,1.0,1.0,28.0,1.0,0.0,1.0,1.0,1.0,1.0,40.0,171.0,1752.0,182.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,1.0,2.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,40.0,171.0,1752.0,182.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,4.0,0.0,1.0,4.0,0.0,15.0,18.0,18.0,4.0,1.0,1.0,9.0,4.0,0.0,1.0,4.0,1.0,1.0,8.0,100.0,2639.0,109.0,4.0,48.0,1.0,245.0,233.0,6694.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0
0.0,0.0,6.0,0.0,0.0,6.0,3.0,14.0,50.0,50.0,0.0,1.0,0.0,6.0,13.0,0.6,1.0,13.0,2.166667,2.166667,8.0,100.0,2639.0,109.0,4.0,48.0,1.0,245.0,233.0,6694.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0,0.0
0.0,2.0,29.0,106.0,25.0,29.0,4.0,0.0,1371.0,1371.0,51.0,1.0,27.0,87.0,328.0,0.723214,1.0,328.0,11.310345,11.310345,8.0,100.0,2639.0,109.0,4.0,48.0,1.0,245.0,233.0,6694.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,25.0,0.0,29.0,6.0,6.0,23.0,27.0,1.0
0.0,0.0,10.0,96.0,1.0,10.0,3.0,0.0,243.0,243.0,1.0,1.0,28.0,12.0,47.0,0.48148100000000005,1.0,47.0,4.7,4.7,8.0,100.0,2639.0,109.0,4.0,48.0,1.0,245.0,233.0,6694.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,8.0,0.0,10.0,0.0,0.0,10.0,9.0,0.0
0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,14.0,14.0,1.0,1.0,1.0,3.0,2.0,1.0,0.666667,2.0,1.0,1.0,8.0,100.0,2639.0,109.0,4.0,48.0,1.0,245.0,233.0,6694.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
0.0,2.0,2.0,0.0,1.0,2.0,8.0,0.0,76.0,76.0,1.0,1.0,2.0,3.0,2.0,1.0,0.2,2.0,1.0,1.0,32.0,46.0,1690.0,48.0,4.0,48.0,1.0,245.0,233.0,6694.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,2.0,0.0,11.0,15.0,15.0,0.0,0.0,4.0,21.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,5.0,44.0,5.0,11.0,58.0,2.0,541.0,326.0,7842.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0
0.0,0.0,3.0,0.0,2.0,3.0,0.0,7.0,29.0,29.0,2.0,0.0,5.0,15.0,4.0,0.0,1.0,4.0,1.333333,1.333333,2.0,5.0,44.0,5.0,11.0,58.0,2.0,541.0,326.0,7842.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0
39.0,0.0,40.0,15.0,3.0,1.0,20.0,0.0,330.0,330.0,3.0,0.08717899999999999,9.0,58.0,40.0,0.9717950000000001,0.025,1.0,1.0,1.0,5.0,27.0,1293.0,138.0,11.0,58.0,2.0,541.0,326.0,7842.0,20.0,0.0,0.0,1.0,0.0,19.0,41.0,0.0,0.0,41.0,0.0,0.0,41.0,1.0,0.0
18.0,0.0,25.0,5.0,4.0,7.0,9.0,10.0,199.0,37.0,3.0,0.243333,7.0,40.0,25.0,0.898148,0.28,7.0,1.0,1.0,5.0,27.0,1293.0,138.0,11.0,58.0,2.0,541.0,326.0,7842.0,9.0,0.0,0.0,0.0,0.0,9.0,26.0,0.0,0.0,26.0,0.0,0.0,26.0,7.0,0.0
0.0,0.0,3.0,1.0,2.0,3.0,0.0,72.0,88.0,88.0,3.0,1.0,2.0,6.0,10.0,0.0,1.0,10.0,3.333333,3.333333,3.0,28.0,619.0,34.0,4.0,56.0,5.0,502.0,445.0,10835.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,2.0,2.0,0.0
6.0,0.0,30.0,0.0,1.0,24.0,11.0,0.0,518.0,390.0,1.0,0.26108400000000004,1.0,31.0,55.0,0.9373040000000001,0.8,42.0,1.833333,1.75,3.0,28.0,619.0,34.0,4.0,56.0,5.0,502.0,445.0,10835.0,0.0,11.0,5.0,5.0,5.0,6.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,23.0,0.0
9.0,3.0,47.0,19.0,11.0,38.0,48.0,0.0,1342.0,1264.0,30.0,0.49359,10.0,77.0,227.0,0.949275,0.709677,213.0,4.8297870000000005,5.605263,40.0,277.0,7963.0,322.0,4.0,56.0,5.0,502.0,445.0,10835.0,13.0,34.0,24.0,19.0,19.0,24.0,31.0,7.0,9.0,41.0,2.0,0.0,41.0,38.0,1.0
9.0,6.0,50.0,0.0,10.0,41.0,96.0,0.0,3600.0,3405.0,26.0,0.272895,5.0,80.0,296.0,0.980867,0.39534899999999995,256.0,5.92,6.243901999999999,40.0,277.0,7963.0,322.0,4.0,56.0,5.0,502.0,445.0,10835.0,15.0,62.0,55.0,47.0,47.0,41.0,25.0,3.0,21.0,46.0,7.0,5.0,41.0,41.0,1.0
0.0,0.0,18.0,61.0,9.0,18.0,2.0,0.0,1097.0,1097.0,36.0,0.269231,9.0,61.0,286.0,0.882353,1.0,286.0,15.888889,15.888889,40.0,277.0,7963.0,322.0,4.0,56.0,5.0,502.0,445.0,10835.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,12.0,19.0,0.0,0.0,19.0,18.0,1.0
7.0,0.0,11.0,0.0,0.0,4.0,6.0,0.0,112.0,64.0,0.0,0.361111,0.0,11.0,11.0,0.8,0.3,4.0,1.0,1.0,40.0,277.0,7963.0,322.0,4.0,56.0,5.0,502.0,445.0,10835.0,0.0,6.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,11.0,0.0,0.0,11.0,2.0,0.0
0.0,10.0,4.0,0.0,10.0,4.0,0.0,0.0,196.0,196.0,11.0,0.0,0.0,15.0,8.0,0.0,1.0,8.0,2.0,2.0,30.0,106.0,993.0,111.0,3.0,91.0,9.0,585.0,567.0,8432.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0
0.0,0.0,2.0,0.0,1.0,2.0,3.0,0.0,26.0,26.0,2.0,1.0,2.0,4.0,2.0,0.5,1.0,2.0,1.0,1.0,30.0,106.0,993.0,111.0,3.0,91.0,9.0,585.0,567.0,8432.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0
4.0,0.0,11.0,0.0,0.0,7.0,4.0,0.0,107.0,67.0,0.0,0.418182,0.0,11.0,11.0,0.8,0.636364,7.0,1.0,1.0,30.0,106.0,993.0,111.0,3.0,91.0,9.0,585.0,567.0,8432.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,12.0,0.0,0.0,12.0,7.0,0.0
0.0,1.0,4.0,0.0,4.0,4.0,5.0,14.0,166.0,166.0,4.0,0.5,10.0,34.0,10.0,0.6,1.0,10.0,2.5,2.5,7.0,34.0,713.0,36.0,13.0,66.0,10.0,629.0,479.0,11929.0,5.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0,2.0,4.0,0.0,0.0,4.0,4.0,0.0
0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,34.0,34.0,1.0,1.0,3.0,2.0,6.0,0.0,-1.0,6.0,6.0,6.0,7.0,34.0,713.0,36.0,13.0,66.0,10.0,629.0,479.0,11929.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0
9.0,7.0,63.0,3.0,5.0,54.0,23.0,-1.0,2005.0,1910.0,11.0,0.38350300000000004,3.0,77.0,244.0,0.953717,-1.0,233.0,3.8730160000000002,4.314815,11.0,101.0,2259.0,113.0,13.0,66.0,10.0,629.0,479.0,11929.0,4.0,17.0,9.0,6.0,6.0,14.0,34.0,10.0,19.0,55.0,1.0,1.0,58.0,50.0,1.0
7.0,0.0,16.0,0.0,0.0,9.0,7.0,0.0,175.0,105.0,0.0,0.2,4.0,16.0,16.0,0.866667,0.5625,9.0,1.0,1.0,4.0,32.0,659.0,53.0,13.0,66.0,10.0,629.0,479.0,11929.0,7.0,0.0,0.0,0.0,0.0,7.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,8.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,38.0,38.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,11.0,31.0,509.0,45.0,13.0,66.0,10.0,629.0,479.0,11929.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,11.0,0.0,1.0,11.0,1.0,0.0,146.0,146.0,1.0,0.622222,0.0,12.0,17.0,0.3,1.0,17.0,1.545455,1.545455,3.0,16.0,197.0,16.0,14.0,66.0,8.0,641.0,438.0,8425.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,2.0,0.0,0.0,2.0,10.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,42.0,42.0,0.0,1.0,0.0,1.0,7.0,0.0,1.0,7.0,7.0,7.0,3.0,16.0,197.0,16.0,14.0,66.0,8.0,641.0,438.0,8425.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0
0.0,0.0,4.0,0.0,2.0,4.0,4.0,-1.0,51.0,51.0,4.0,0.0,5.0,8.0,11.0,1.0,-1.0,11.0,2.75,2.75,3.0,16.0,197.0,16.0,14.0,66.0,8.0,641.0,438.0,8425.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0
9.0,0.0,12.0,0.0,1.0,3.0,7.0,0.0,164.0,79.0,0.0,0.30303,1.0,13.0,21.0,0.857143,0.25,11.0,1.75,3.666667,6.0,47.0,762.0,77.0,14.0,66.0,8.0,641.0,438.0,8425.0,7.0,0.0,0.0,2.0,0.0,5.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,3.0,0.0
8.0,0.0,15.0,0.0,0.0,7.0,4.0,0.0,97.0,49.0,0.0,0.461538,0.0,15.0,15.0,0.732143,0.428571,7.0,1.0,1.0,1.0,7.0,97.0,15.0,14.0,66.0,8.0,641.0,438.0,8425.0,4.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,1.0,15.0,0.0,0.0,15.0,5.0,0.0
1.0,0.0,7.0,11.0,12.0,6.0,5.0,0.0,321.0,306.0,20.0,0.2,13.0,38.0,51.0,0.866667,0.75,48.0,7.285714,8.0,14.0,112.0,2893.0,139.0,14.0,66.0,8.0,641.0,438.0,8425.0,5.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,2.0,4.0,1.0,0.0,4.0,5.0,1.0
0.0,2.0,9.0,1.0,4.0,9.0,5.0,0.0,200.0,200.0,2.0,1.0,3.0,13.0,20.0,0.825,1.0,20.0,2.222222,2.222222,14.0,26.0,817.0,116.0,3.0,153.0,16.0,689.0,510.0,8378.0,5.0,0.0,2.0,2.0,2.0,3.0,6.0,3.0,0.0,9.0,2.0,2.0,7.0,8.0,0.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,10.0,10.0,0.0,1.0,1.0,1.0,2.0,0.0,-1.0,2.0,2.0,2.0,14.0,26.0,817.0,116.0,3.0,153.0,16.0,689.0,510.0,8378.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0
3.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,25.0,7.0,0.0,0.333333,0.0,4.0,4.0,0.666667,0.25,1.0,1.0,1.0,14.0,26.0,817.0,116.0,3.0,153.0,16.0,689.0,510.0,8378.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0
8.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,47.0,47.0,0.0,0.14285699999999998,0.0,8.0,8.0,0.857143,0.0,0.0,1.0,0.0,14.0,26.0,817.0,116.0,3.0,153.0,16.0,689.0,510.0,8378.0,4.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0
6.0,0.0,8.0,0.0,0.0,2.0,4.0,0.0,47.0,11.0,0.0,0.14285699999999998,0.0,8.0,8.0,0.857143,0.25,2.0,1.0,1.0,14.0,26.0,817.0,116.0,3.0,153.0,16.0,689.0,510.0,8378.0,4.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,9.0,0.0,0.0,9.0,2.0,0.0
16.0,0.0,16.0,0.0,0.0,0.0,8.0,0.0,91.0,91.0,0.0,0.06666699999999999,3.0,16.0,16.0,0.933333,0.0,0.0,1.0,0.0,14.0,26.0,817.0,116.0,3.0,153.0,16.0,689.0,510.0,8378.0,8.0,0.0,0.0,0.0,0.0,8.0,17.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0
0.0,0.0,5.0,0.0,2.0,5.0,0.0,45.0,29.0,29.0,2.0,0.0,9.0,18.0,5.0,0.0,1.0,5.0,1.0,1.0,26.0,159.0,2303.0,198.0,3.0,65.0,4.0,780.0,673.0,16524.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0
1.0,0.0,7.0,2.0,2.0,6.0,1.0,44.0,48.0,38.0,4.0,1.0,9.0,19.0,7.0,0.166667,0.75,6.0,1.0,1.0,26.0,159.0,2303.0,198.0,3.0,65.0,4.0,780.0,673.0,16524.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,7.0,0.0,0.0,7.0,5.0,0.0
0.0,0.0,6.0,3.0,2.0,6.0,0.0,44.0,39.0,39.0,2.0,0.0,9.0,18.0,8.0,0.0,1.0,8.0,1.333333,1.333333,26.0,159.0,2303.0,198.0,3.0,65.0,4.0,780.0,673.0,16524.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,0.0,0.0,6.0,5.0,0.0
0.0,0.0,66.0,0.0,0.0,66.0,5.0,51.0,1917.0,1917.0,0.0,0.007519,1.0,66.0,785.0,0.996923,0.9193549999999999,785.0,11.893939,11.893939,18.0,408.0,12655.0,440.0,3.0,65.0,4.0,780.0,673.0,16524.0,0.0,0.0,5.0,5.0,5.0,0.0,57.0,5.0,4.0,5.0,5.0,0.0,5.0,62.0,1.0
0.0,2.0,7.0,13.0,6.0,7.0,6.0,0.0,301.0,301.0,8.0,0.0,6.0,23.0,48.0,1.0,1.0,48.0,6.857142999999999,6.857142999999999,7.0,41.0,928.0,41.0,4.0,190.0,3.0,713.0,563.0,9457.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,0.0,7.0,0.0,0.0,7.0,6.0,1.0
0.0,0.0,2.0,0.0,0.0,2.0,0.0,15.0,8.0,8.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,7.0,41.0,928.0,41.0,4.0,190.0,3.0,713.0,563.0,9457.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,12.0,12.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,4.0,2.0,2.0,7.0,41.0,928.0,41.0,4.0,190.0,3.0,713.0,563.0,9457.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0
0.0,3.0,22.0,25.0,15.0,22.0,4.0,0.0,603.0,603.0,21.0,0.333333,15.0,69.0,114.0,0.9642860000000001,1.0,114.0,5.181818,5.181818,7.0,41.0,928.0,41.0,4.0,190.0,3.0,713.0,563.0,9457.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,18.0,0.0,22.0,0.0,0.0,22.0,21.0,1.0
