ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,CINT_method,CDISP_method,NOM_type,ATFD_type,FANOUT_type,NOMNAMM_type,NIM_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,CBO_type,RFC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,LOC_package,NOM_package,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,number_public_visibility_methods,number_not_abstract_not_final_methods,number_not_final_not_static_methods,number_standard_design_methods,is_feature_envy
1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,3.0,3.0,4.0,0.75,3.0,1.0,3.0,3.0,67.0,31.0,31.0,4.0,0.0,10.0,41.0,4.0,0.0,1.0,4.0,1.333333,1.333333,4.0,17.0,277.0,18.0,2361.0,192.0,18015.0,15303.0,284934.0,1.0,3.0,3.0,2.0,0.0
0.0,0.0,2.0,22.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,7.0,3.0,11.0,7.0,10.0,151.0,151.0,16.0,0.0,11.0,37.0,24.0,0.0,1.0,24.0,3.428571,3.428571,4.0,32.0,473.0,32.0,813.0,36.0,4551.0,3762.0,68127.0,8.0,8.0,7.0,7.0,0.0
1.0,1.0,2.0,5.0,2.0,0.0,2.0,1.0,3.0,2.0,4.0,0.75,3.0,1.0,3.0,3.0,67.0,31.0,31.0,4.0,0.0,10.0,41.0,4.0,0.0,1.0,4.0,1.333333,1.333333,4.0,17.0,277.0,18.0,2361.0,192.0,18015.0,15303.0,284934.0,1.0,3.0,3.0,2.0,0.0
0.0,0.0,2.0,12.0,2.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,14.0,166.0,166.0,4.0,0.5,10.0,34.0,10.0,0.6,1.0,10.0,2.5,2.5,7.0,34.0,713.0,36.0,66.0,10.0,629.0,479.0,11929.0,2.0,4.0,4.0,4.0,0.0
0.0,0.0,1.0,6.0,3.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,13.0,3.0,3.0,13.0,3.0,218.0,218.0,3.0,0.755556,4.0,19.0,51.0,0.683333,1.0,51.0,3.9230769999999997,3.9230769999999997,6.0,38.0,752.0,38.0,132.0,23.0,1278.0,781.0,18243.0,11.0,13.0,11.0,12.0,0.0
9.0,3.0,3.0,21.0,8.0,1.0,12.0,0.181818,6.0,4.0,7.0,0.857143,11.0,13.0,11.0,8.0,3.0,353.0,320.0,13.0,0.428571,10.0,32.0,26.0,0.78,0.666667,22.0,2.363636,2.75,7.0,56.0,935.0,68.0,485.0,19.0,2169.0,1864.0,34855.0,9.0,11.0,11.0,7.0,1.0
20.0,6.0,6.0,152.0,26.0,41.0,76.0,0.28571399999999997,9.0,9.0,17.0,0.529412,34.0,119.0,67.0,31.0,0.0,2633.0,2410.0,140.0,0.501894,74.0,219.0,442.0,0.692037,0.36,404.0,13.0,13.032258,55.0,301.0,10173.0,328.0,799.0,32.0,6880.0,5602.0,136533.0,12.0,34.0,34.0,30.0,1.0
28.0,7.0,7.0,127.0,23.0,21.0,66.0,0.151515,16.0,17.0,44.0,0.363636,75.0,110.0,38.0,58.0,0.0,1890.0,1767.0,103.0,0.40289899999999995,43.0,264.0,302.0,0.926126,0.757143,285.0,4.026667,4.913793,6.0,126.0,2701.0,156.0,606.0,65.0,5527.0,2783.0,69698.0,70.0,75.0,74.0,58.0,1.0
2.0,2.0,7.0,101.0,27.0,12.0,22.0,0.8888889999999999,8.0,17.0,18.0,0.44444399999999995,1.0,2.0,8.0,1.0,0.0,131.0,131.0,17.0,1.0,8.0,19.0,27.0,0.0,0.11111099999999999,27.0,27.0,27.0,50.0,372.0,3878.0,507.0,959.0,115.0,5518.0,4398.0,58718.0,1.0,1.0,0.0,1.0,0.0
34.0,3.0,1.0,54.0,1.0,1.0,38.0,0.081081,21.0,20.0,21.0,1.0,9.0,5.0,25.0,8.0,15.0,604.0,598.0,25.0,0.464286,5.0,39.0,18.0,0.8875,0.8888889999999999,17.0,2.0,2.125,59.0,424.0,7192.0,494.0,649.0,50.0,5366.0,4947.0,94240.0,9.0,9.0,9.0,7.0,0.0
4.0,1.0,7.0,164.0,28.0,18.0,30.0,0.666667,13.0,19.0,19.0,0.684211,31.0,6.0,23.0,31.0,0.0,1142.0,1142.0,47.0,0.40579699999999996,27.0,82.0,138.0,0.8111109999999999,1.0,138.0,4.451613,4.451613,38.0,247.0,5146.0,397.0,121.0,31.0,1271.0,982.0,18172.0,24.0,31.0,31.0,30.0,0.0
0.0,0.0,2.0,6.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,11.0,0.0,146.0,146.0,1.0,0.622222,0.0,12.0,17.0,0.3,1.0,17.0,1.545455,1.545455,3.0,16.0,197.0,16.0,66.0,8.0,641.0,438.0,8425.0,10.0,2.0,2.0,10.0,0.0
0.0,0.0,1.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,18.0,95.0,75.0,4.0,0.6,7.0,27.0,9.0,0.75,0.6,7.0,1.8,2.333333,11.0,56.0,1645.0,81.0,128.0,16.0,1064.0,796.0,20892.0,5.0,5.0,5.0,3.0,0.0
11.0,3.0,3.0,186.0,29.0,11.0,34.0,0.3125,11.0,23.0,33.0,0.333333,65.0,14.0,20.0,53.0,-1.0,1600.0,1489.0,85.0,0.260652,26.0,166.0,235.0,0.9263389999999999,-1.0,223.0,3.615385,4.207547,8.0,153.0,3146.0,195.0,1542.0,130.0,11967.0,9063.0,213479.0,52.0,10.0,14.0,52.0,1.0
0.0,0.0,1.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,22.0,16.0,0.0,1.0,2.0,4.0,3.0,0.833333,0.666667,2.0,1.0,1.0,134.0,428.0,12585.0,454.0,1571.0,291.0,17113.0,11938.0,260912.0,3.0,3.0,3.0,1.0,0.0
13.0,6.0,8.0,107.0,33.0,26.0,46.0,0.181818,9.0,15.0,20.0,0.45,34.0,119.0,67.0,31.0,0.0,2633.0,2410.0,140.0,0.501894,74.0,219.0,442.0,0.692037,0.36,404.0,13.0,13.032258,55.0,301.0,10173.0,328.0,799.0,32.0,6880.0,5602.0,136533.0,12.0,34.0,34.0,30.0,1.0
9.0,2.0,4.0,48.0,10.0,6.0,17.0,0.166667,1.0,3.0,3.0,0.333333,29.0,106.0,25.0,29.0,0.0,1371.0,1371.0,51.0,1.0,27.0,87.0,328.0,0.723214,1.0,328.0,11.310345,11.310345,8.0,100.0,2639.0,109.0,48.0,1.0,245.0,233.0,6694.0,4.0,29.0,23.0,27.0,0.0
0.0,0.0,1.0,14.0,1.0,2.0,10.0,1.0,3.0,3.0,3.0,1.0,36.0,29.0,22.0,27.0,18.0,470.0,404.0,42.0,0.24242399999999997,25.0,117.0,62.0,0.812245,0.742857,50.0,1.7222220000000001,1.851852,25.0,188.0,3308.0,244.0,799.0,32.0,6880.0,5602.0,136533.0,35.0,36.0,36.0,26.0,0.0
11.0,1.0,3.0,99.0,15.0,17.0,44.0,0.214286,4.0,6.0,15.0,0.266667,13.0,21.0,13.0,13.0,-1.0,425.0,425.0,15.0,0.0,17.0,48.0,48.0,0.9444440000000001,-1.0,48.0,3.692308,3.692308,14.0,59.0,1144.0,66.0,959.0,115.0,5518.0,4398.0,58718.0,5.0,11.0,13.0,11.0,1.0
0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,177.0,161.0,0.0,0.535714,0.0,9.0,31.0,0.953571,0.21739099999999997,26.0,3.4444440000000003,5.2,8.0,30.0,1005.0,38.0,297.0,25.0,2742.0,2257.0,38451.0,9.0,9.0,8.0,4.0,0.0
0.0,0.0,1.0,6.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,13.0,6.0,7.0,0.0,301.0,301.0,8.0,0.0,6.0,23.0,48.0,1.0,1.0,48.0,6.857142999999999,6.857142999999999,7.0,41.0,928.0,41.0,190.0,3.0,713.0,563.0,9457.0,4.0,7.0,7.0,6.0,0.0
0.0,0.0,7.0,111.0,21.0,17.0,18.0,1.0,2.0,6.0,6.0,0.333333,7.0,0.0,2.0,7.0,0.0,469.0,469.0,10.0,0.3,1.0,17.0,54.0,0.9,0.0,54.0,7.714286,7.714286,40.0,277.0,7963.0,322.0,56.0,5.0,502.0,445.0,10835.0,0.0,7.0,0.0,7.0,0.0
0.0,0.0,9.0,177.0,21.0,19.0,20.0,0.0,4.0,9.0,9.0,0.44444399999999995,2.0,2.0,12.0,2.0,158.0,1405.0,1405.0,18.0,0.0,23.0,90.0,25.0,1.0,0.666667,25.0,12.5,12.5,12.0,39.0,2029.0,54.0,764.0,30.0,4305.0,3256.0,120720.0,2.0,2.0,1.0,2.0,0.0
0.0,0.0,1.0,6.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0,3.0,3.0,13.0,3.0,218.0,218.0,3.0,0.755556,4.0,19.0,51.0,0.683333,1.0,51.0,3.9230769999999997,3.9230769999999997,6.0,38.0,752.0,38.0,132.0,23.0,1278.0,781.0,18243.0,11.0,13.0,11.0,12.0,0.0
4.0,4.0,6.0,265.0,37.0,27.0,42.0,0.666667,13.0,17.0,21.0,0.6190479999999999,46.0,14.0,30.0,39.0,98.0,1091.0,997.0,80.0,0.41538500000000006,40.0,217.0,132.0,0.959259,0.8857139999999999,119.0,2.869565,3.051282,7.0,67.0,1589.0,79.0,1188.0,117.0,6818.0,5763.0,109035.0,35.0,46.0,45.0,37.0,0.0
0.0,0.0,6.0,80.0,17.0,14.0,18.0,1.0,4.0,6.0,6.0,0.666667,16.0,0.0,5.0,7.0,-1.0,248.0,188.0,11.0,0.209524,7.0,27.0,54.0,0.891667,-1.0,45.0,3.375,6.428571,11.0,32.0,1322.0,72.0,121.0,31.0,1271.0,982.0,18172.0,5.0,8.0,8.0,7.0,0.0
7.0,2.0,3.0,39.0,7.0,1.0,12.0,0.22222199999999998,4.0,6.0,8.0,0.5,62.0,18.0,27.0,60.0,0.0,1912.0,1866.0,96.0,0.623164,25.0,160.0,220.0,0.9490940000000001,0.1,214.0,3.5483870000000004,3.566667,39.0,282.0,3051.0,292.0,1196.0,192.0,9900.0,9201.0,117117.0,2.0,63.0,62.0,60.0,1.0
0.0,0.0,1.0,10.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,228.0,228.0,0.0,1.0,0.0,11.0,46.0,0.933333,1.0,46.0,4.181818,4.181818,1.0,11.0,228.0,11.0,102.0,2.0,808.0,724.0,19045.0,3.0,11.0,10.0,10.0,0.0
0.0,0.0,1.0,9.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,79.0,45.0,0.0,0.23809499999999997,0.0,7.0,9.0,0.777778,0.428571,3.0,1.285714,1.0,6.0,16.0,467.0,20.0,764.0,30.0,4305.0,3256.0,120720.0,7.0,7.0,7.0,3.0,0.0
23.0,7.0,6.0,135.0,23.0,42.0,76.0,0.11538499999999999,8.0,16.0,25.0,0.32,23.0,71.0,16.0,20.0,0.0,1054.0,1030.0,51.0,0.49090900000000004,21.0,86.0,192.0,0.8272729999999999,0.6,189.0,8.347826,9.45,55.0,301.0,10173.0,328.0,799.0,32.0,6880.0,5602.0,136533.0,9.0,23.0,23.0,19.0,1.0
3.0,3.0,8.0,104.0,21.0,17.0,21.0,0.5,3.0,7.0,7.0,0.428571,23.0,7.0,8.0,23.0,-1.0,776.0,776.0,17.0,0.11428599999999998,11.0,42.0,105.0,0.9444440000000001,-1.0,105.0,4.565217,4.565217,16.0,117.0,2551.0,142.0,262.0,57.0,1805.0,1524.0,34404.0,15.0,23.0,1.0,22.0,0.0
26.0,11.0,4.0,206.0,58.0,12.0,53.0,0.365854,16.0,24.0,34.0,0.470588,11.0,62.0,25.0,11.0,22.0,718.0,718.0,76.0,0.13333299999999998,36.0,168.0,179.0,1.0,1.0,179.0,16.272727,16.272727,760.0,1182.0,32189.0,1188.0,2096.0,64.0,13676.0,11072.0,315953.0,2.0,11.0,11.0,10.0,1.0
19.0,3.0,5.0,54.0,13.0,4.0,24.0,0.05,0.0,0.0,0.0,0.0,28.0,20.0,7.0,24.0,170.0,272.0,227.0,16.0,0.263333,44.0,190.0,49.0,0.89418,0.809524,40.0,1.75,1.666667,80.0,455.0,4694.0,492.0,2250.0,95.0,10364.0,9519.0,130132.0,21.0,28.0,28.0,22.0,1.0
4.0,2.0,2.0,20.0,7.0,0.0,11.0,0.636364,1.0,1.0,1.0,1.0,17.0,51.0,7.0,15.0,0.0,695.0,616.0,18.0,0.722222,10.0,49.0,179.0,0.825893,0.75,165.0,10.529411999999999,11.0,4.0,37.0,1180.0,39.0,131.0,16.0,1404.0,1137.0,25747.0,9.0,17.0,16.0,14.0,0.0
16.0,11.0,6.0,289.0,34.0,35.0,55.0,0.272727,28.0,39.0,52.0,0.538462,9.0,22.0,53.0,9.0,565.0,605.0,605.0,85.0,1.0,41.0,127.0,69.0,0.9285709999999999,0.5,69.0,7.6666669999999995,7.6666669999999995,61.0,373.0,8738.0,410.0,1244.0,32.0,8322.0,6962.0,163595.0,2.0,9.0,9.0,8.0,1.0
22.0,6.0,6.0,115.0,20.0,22.0,67.0,0.034483,8.0,13.0,34.0,0.235294,11.0,37.0,10.0,11.0,0.0,323.0,323.0,26.0,0.022222,13.0,58.0,56.0,1.0,1.0,56.0,5.090909,5.090909,22.0,492.0,6260.0,600.0,338.0,90.0,5983.0,4284.0,92696.0,11.0,11.0,11.0,10.0,1.0
8.0,4.0,6.0,205.0,34.0,23.0,55.0,0.777778,5.0,10.0,16.0,0.3125,73.0,24.0,13.0,65.0,31.0,1812.0,1706.0,67.0,0.471441,19.0,178.0,234.0,0.894965,0.875,221.0,3.205479,3.4,26.0,281.0,5940.0,330.0,208.0,14.0,1593.0,1411.0,26472.0,71.0,73.0,73.0,62.0,0.0
5.0,3.0,3.0,35.0,5.0,4.0,11.0,0.2,4.0,4.0,6.0,0.666667,10.0,6.0,8.0,10.0,0.0,361.0,361.0,11.0,0.933333,6.0,23.0,35.0,0.777778,1.0,35.0,3.5,3.5,33.0,96.0,1917.0,105.0,1037.0,62.0,6560.0,5860.0,138536.0,7.0,10.0,10.0,9.0,1.0
0.0,0.0,3.0,16.0,3.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,7.0,13.0,6.0,7.0,0.0,301.0,301.0,8.0,0.0,6.0,23.0,48.0,1.0,1.0,48.0,6.857142999999999,6.857142999999999,7.0,41.0,928.0,41.0,190.0,3.0,713.0,563.0,9457.0,4.0,7.0,7.0,6.0,0.0
0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,177.0,161.0,0.0,0.535714,0.0,9.0,31.0,0.953571,0.21739099999999997,26.0,3.4444440000000003,5.2,8.0,30.0,1005.0,38.0,297.0,25.0,2742.0,2257.0,38451.0,9.0,9.0,8.0,4.0,0.0
1.0,1.0,6.0,125.0,30.0,17.0,32.0,0.9285709999999999,6.0,12.0,12.0,0.5,13.0,4.0,7.0,12.0,13.0,410.0,402.0,15.0,0.666667,8.0,41.0,67.0,0.967593,1.0,66.0,5.153846,5.5,4.0,32.0,754.0,39.0,649.0,50.0,5366.0,4947.0,94240.0,2.0,14.0,13.0,12.0,0.0
0.0,0.0,1.0,12.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,26.0,22.0,8.0,21.0,0.0,444.0,419.0,23.0,0.463158,10.0,58.0,69.0,0.901176,0.344828,64.0,2.6538459999999997,3.047619,4.0,112.0,3186.0,172.0,465.0,54.0,7652.0,6749.0,171667.0,15.0,26.0,18.0,19.0,0.0
9.0,2.0,7.0,177.0,20.0,13.0,35.0,0.428571,2.0,5.0,20.0,0.1,6.0,9.0,4.0,6.0,0.0,305.0,305.0,6.0,0.6,4.0,29.0,33.0,0.95,1.0,33.0,5.5,5.5,17.0,203.0,4016.0,326.0,764.0,30.0,4305.0,3256.0,120720.0,6.0,6.0,6.0,5.0,1.0
4.0,2.0,6.0,119.0,32.0,7.0,31.0,0.833333,2.0,1.0,2.0,1.0,134.0,13.0,14.0,133.0,52.0,5744.0,5732.0,20.0,0.938942,55.0,157.0,1192.0,0.9973799999999999,0.084507,1191.0,8.895522,8.954887,18.0,408.0,12655.0,440.0,65.0,4.0,780.0,673.0,16524.0,6.0,9.0,9.0,128.0,0.0
18.0,2.0,6.0,95.0,15.0,21.0,54.0,0.14285699999999998,8.0,14.0,30.0,0.266667,11.0,20.0,15.0,11.0,11.0,434.0,434.0,35.0,1.0,19.0,91.0,42.0,0.8,1.0,42.0,3.818182,3.818182,3.0,24.0,1056.0,24.0,567.0,75.0,5715.0,3996.0,78591.0,9.0,11.0,11.0,10.0,1.0
0.0,0.0,1.0,4.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,4.0,0.0,29.0,29.0,2.0,1.0,3.0,6.0,4.0,0.0,1.0,4.0,1.0,1.0,4.0,12.0,148.0,12.0,191.0,19.0,1447.0,1361.0,24319.0,3.0,4.0,4.0,3.0,0.0
13.0,9.0,10.0,1134.0,248.0,96.0,153.0,0.660377,30.0,70.0,77.0,0.38961,59.0,25.0,43.0,32.0,10.0,2827.0,2345.0,99.0,0.295238,55.0,190.0,466.0,0.9692120000000001,0.357143,417.0,7.898305000000001,13.03125,51.0,386.0,14767.0,554.0,1542.0,130.0,11967.0,9063.0,213479.0,42.0,59.0,54.0,26.0,1.0
18.0,2.0,2.0,29.0,19.0,6.0,22.0,0.1,0.0,0.0,0.0,0.0,13.0,31.0,8.0,13.0,105.0,184.0,184.0,11.0,0.681818,86.0,129.0,47.0,0.541667,1.0,47.0,3.615385,3.615385,28.0,215.0,2473.0,226.0,604.0,41.0,5154.0,4917.0,82661.0,13.0,13.0,13.0,12.0,0.0
0.0,0.0,6.0,346.0,51.0,32.0,47.0,0.13333299999999998,2.0,2.0,2.0,1.0,68.0,23.0,26.0,49.0,25.0,3803.0,3494.0,58.0,0.512157,45.0,189.0,614.0,0.8843280000000001,0.641509,562.0,9.029411999999999,11.469388,68.0,681.0,16486.0,924.0,799.0,32.0,6880.0,5602.0,136533.0,53.0,68.0,52.0,45.0,0.0
10.0,3.0,3.0,57.0,8.0,13.0,26.0,0.090909,6.0,9.0,18.0,0.333333,22.0,26.0,13.0,22.0,0.0,531.0,531.0,29.0,0.175,16.0,77.0,96.0,1.0,1.0,96.0,4.363636,4.363636,24.0,154.0,3513.0,212.0,497.0,38.0,5768.0,4374.0,117757.0,4.0,22.0,1.0,21.0,1.0
6.0,1.0,5.0,23.0,5.0,4.0,16.0,0.14285699999999998,1.0,1.0,6.0,0.166667,18.0,12.0,2.0,12.0,0.0,240.0,190.0,6.0,0.428571,3.0,40.0,37.0,0.803922,0.666667,30.0,2.055556,2.5,132.0,463.0,7206.0,551.0,153.0,16.0,689.0,510.0,8378.0,18.0,18.0,18.0,9.0,0.0
7.0,3.0,2.0,43.0,7.0,10.0,17.0,0.2,8.0,13.0,13.0,0.6153850000000001,7.0,11.0,11.0,7.0,0.0,230.0,230.0,24.0,1.0,12.0,34.0,29.0,0.666667,1.0,29.0,4.142857,4.142857,21.0,165.0,9721.0,166.0,338.0,90.0,5983.0,4284.0,92696.0,7.0,7.0,7.0,6.0,1.0
0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,8.0,7.0,0.0,135.0,135.0,9.0,0.0,9.0,20.0,20.0,0.0,1.0,20.0,2.857143,2.857143,28.0,129.0,2768.0,165.0,1908.0,124.0,12486.0,11008.0,214819.0,4.0,1.0,0.0,7.0,0.0
0.0,0.0,2.0,18.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,72.0,88.0,88.0,3.0,1.0,2.0,6.0,10.0,0.0,1.0,10.0,3.333333,3.333333,3.0,28.0,619.0,34.0,56.0,5.0,502.0,445.0,10835.0,2.0,3.0,2.0,2.0,0.0
12.0,6.0,6.0,159.0,23.0,29.0,55.0,0.52381,15.0,27.0,36.0,0.416667,4.0,12.0,19.0,4.0,-1.0,228.0,228.0,30.0,0.5,25.0,44.0,31.0,0.733333,-1.0,31.0,7.75,7.75,42.0,137.0,3757.0,219.0,262.0,57.0,1805.0,1524.0,34404.0,3.0,4.0,3.0,4.0,1.0
0.0,0.0,2.0,10.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,11.0,0.0,146.0,146.0,1.0,0.622222,0.0,12.0,17.0,0.3,1.0,17.0,1.545455,1.545455,3.0,16.0,197.0,16.0,66.0,8.0,641.0,438.0,8425.0,10.0,2.0,2.0,10.0,0.0
10.0,3.0,3.0,33.0,6.0,6.0,23.0,0.294118,5.0,6.0,6.0,0.833333,29.0,106.0,25.0,29.0,0.0,1371.0,1371.0,51.0,1.0,27.0,87.0,328.0,0.723214,1.0,328.0,11.310345,11.310345,8.0,100.0,2639.0,109.0,48.0,1.0,245.0,233.0,6694.0,4.0,29.0,23.0,27.0,1.0
7.0,5.0,6.0,122.0,25.0,16.0,28.0,0.2,5.0,4.0,5.0,1.0,67.0,63.0,25.0,36.0,0.0,1012.0,849.0,42.0,0.15625,36.0,123.0,174.0,0.972348,0.43076899999999996,143.0,2.5970150000000003,3.972222,106.0,2196.0,69768.0,2620.0,465.0,54.0,7652.0,6749.0,171667.0,57.0,67.0,61.0,34.0,1.0
0.0,0.0,7.0,104.0,15.0,23.0,27.0,1.0,4.0,4.0,5.0,0.8,51.0,19.0,14.0,40.0,0.0,2009.0,1851.0,41.0,0.511837,13.0,106.0,211.0,0.955,0.388889,197.0,4.137255000000001,4.925,22.0,203.0,6452.0,240.0,2045.0,148.0,17321.0,12962.0,390008.0,19.0,52.0,50.0,40.0,0.0
