NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,MeMCL_method,CDISP_method,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOPA_type,CBO_type,RFC_type,NOC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,is_switch_statements
2,0,6,3,0,4,57,12,0,8,0,14,0.166666667,5,14,1,8,0,0.625,1,9,8,48,0,17,25,39,54,534,6,1116,1063,1992,0.054054054,34,23,104,0,115,0.994877857,0.402777778,105,2.395833333,2.692307692,50,388,3,8258,437,43,849,78,5788,4778,65687,FALSE
1,0,1,1,0,4,24,5,0,7,0,8,0,1,4,0,2,0,0.5,0,0,13,71,0,4,14,71,5,0,1,1327,1327,1192,0.000426257,2,8,96,0,186,1,0.971830986,186,2.61971831,2.61971831,50,388,3,8258,437,43,849,78,5788,4778,65687,FALSE
2,0,0,0,0,4,14,4,0,4,0,8,0,0,0,0,0,0,0,0,0,1,25,0,1,3,25,8,0,1,615,615,292,0.003952569,2,2,30,0,100,1,0.92,100,4,4,50,388,3,8258,437,43,849,78,5788,4778,65687,FALSE
3,0,0,0,0,4,53,9,0,15,0,17,1,5,20,2,10,0,0.5,1,0,2,9,0,2,10,9,2,15,2,158,158,346,0.666666667,0,10,36,0,24,0.6875,1,24,2.666666667,2.666666667,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
1,0,2,2,0,5,28,5,0,6,0,9,0.5,4,16,1,8,0,0.5,1,0,0,8,0,4,8,8,1,17,3,131,131,320,0.142857143,0,11,30,0,16,0.714285714,1,16,2,2,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
3,1,6,2,1,4,49,10,0,11,0,19,0.142857143,5,20,1,11,0,0.454545455,1,0,0,8,0,10,12,8,2,15,2,132,132,386,0.476190476,0,14,45,0,21,0.785714286,1,21,2.625,2.625,74,380,4,5031,435,43,849,78,5788,4778,65687,TRUE
4,0,2,2,0,5,44,8,0,10,0,18,0.8,6,12,4,8,0,0.75,1,1,7,18,0,14,21,17,8,15,2,660,647,1100,0.714285714,0,15,67,0,67,0.889705882,1,66,3.722222222,3.882352941,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
1,0,4,3,0,4,40,6,0,6,0,13,0.428571429,6,12,3,11,0,0.545454545,0,2,0,11,0,4,8,9,4,21,4,134,117,248,0.285714286,0,14,38,18,21,0.9,0.833333333,18,1.909090909,2,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
0,1,1,1,1,4,14,4,0,3,0,6,0.5,1,2,1,1,0,1,0,2,0,12,1,1,1,10,4,5,2,86,74,80,0.527272727,1,4,22,0,20,0.818181818,0.769230769,18,1.666666667,1.8,18,108,8,1339,136,43,849,78,5788,4778,65687,FALSE
3,0,0,0,0,4,26,11,0,7,0,7,0,0,0,0,0,0,0,1,27,0,98,4,14,21,71,23,516,4,1350,995,9678,0.071103983,4,23,185,0,277,0.980277902,0.6,203,2.826530612,2.85915493,59,322,2,6298,410,43,849,78,5788,4778,65687,FALSE
0,0,4,2,0,4,77,19,1,9,2,17,0.428571429,7,14,3,12,2,0.583333333,1,27,0,98,4,14,21,71,23,516,4,1350,995,9678,0.071103983,4,23,185,0,277,0.980277902,0.6,203,2.826530612,2.85915493,59,322,2,6298,410,43,849,78,5788,4778,65687,TRUE
1,0,15,3,0,5,52,10,0,2,0,20,0,3,4,0,4,0,0.75,1,0,0,1,0,15,3,1,0,0,1,57,57,8,1,0,4,5,0,10,0,1,10,10,10,23,60,1,1234,72,43,849,78,5788,4778,65687,TRUE
0,1,3,2,1,6,47,11,0,8,0,19,0,4,17,0,9,0,0.444444444,1,29,18,123,17,50,138,94,108,77,2,1957,1669,51801,0.012612613,87,145,571,0,273,0.992106861,0.404145078,234,2.219512195,2.489361702,38,198,0,4223,240,43,849,78,5788,4778,65687,FALSE
1,0,6,5,0,6,161,20,0,18,0,27,0.166666667,8,34,1,22,0,0.363636364,1,0,0,9,0,7,8,9,1,0,1,236,236,302,0,0,11,35,0,33,0.875,1,33,3.666666667,3.666666667,4,27,0,516,29,43,849,78,5788,4778,65687,TRUE
2,0,1,1,0,6,88,28,0,10,0,41,0,3,12,0,6,0,0.5,0,30,0,42,1,1,5,12,15,0,1,381,145,1016,0.085020243,0,6,62,0,70,0.939837398,0.268292683,40,1.666666667,3.333333333,34,523,11,6037,728,43,849,78,5788,4778,65687,TRUE
0,0,5,2,0,6,183,5,0,13,0,30,0.692307692,9,20,9,13,0,0.692307692,1,9,8,48,0,17,25,39,54,534,6,1116,1063,1992,0.054054054,34,23,104,0,115,0.994877857,0.402777778,105,2.395833333,2.692307692,50,388,3,8258,437,43,849,78,5788,4778,65687,TRUE
2,2,0,0,2,6,73,12,0,10,0,10,0,0,0,0,0,0,0,0,0,13,71,0,4,14,71,5,0,1,1327,1327,1192,0.000426257,2,8,96,0,186,1,0.971830986,186,2.61971831,2.61971831,50,388,3,8258,437,43,849,78,5788,4778,65687,FALSE
1,5,0,0,6,7,49,12,0,8,0,7,0,0,0,0,0,0,0,0,0,1,25,0,1,3,25,8,0,1,615,615,292,0.003952569,2,2,30,0,100,1,0.92,100,4,4,50,388,3,8258,437,43,849,78,5788,4778,65687,TRUE
1,1,0,0,1,7,63,11,0,8,0,7,0,0,0,0,0,0,0,0,0,1,25,0,1,3,25,8,0,1,615,615,292,0.003952569,2,2,30,0,100,1,0.92,100,4,4,50,388,3,8258,437,43,849,78,5788,4778,65687,TRUE
1,0,0,0,0,6,163,29,0,12,0,25,1,0,0,4,0,0,0,0,7,0,90,1,0,1,83,18,0,1,2829,2637,54,0.042455536,4,1,91,1,252,0.971910112,0.845070423,242,2.8,2.915662651,50,388,3,8258,437,43,849,78,5788,4778,65687,TRUE
3,0,1,1,0,7,53,12,0,12,0,15,1,4,12,1,7,0,0.571428571,0,0,0,4,0,2,6,4,1,15,2,91,91,94,1,0,6,19,0,16,0.333333333,1,16,4,4,74,380,4,5031,435,43,849,78,5788,4778,65687,TRUE
4,2,1,1,2,6,107,22,0,26,0,32,0.666666667,6,12,2,10,0,0.6,1,1,7,18,0,14,21,17,8,15,2,660,647,1100,0.714285714,0,15,67,0,67,0.889705882,1,66,3.722222222,3.882352941,74,380,4,5031,435,43,849,78,5788,4778,65687,TRUE
5,0,2,2,0,6,73,11,0,20,0,24,0,7,18,0,13,0,0.538461538,1,0,0,2,0,3,7,2,0,0,1,81,81,54,0,0,9,15,0,12,0,1,12,6,6,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
4,0,0,0,0,6,53,8,0,12,0,14,1,0,0,2,0,0,0,0,0,0,5,0,1,2,5,4,0,1,170,170,58,0.666666667,2,2,10,0,24,0.8125,0.666666667,24,4.8,4.8,18,108,8,1339,136,43,849,78,5788,4778,65687,TRUE
1,0,0,0,0,6,50,15,0,10,0,13,1,2,6,1,3,0,0.666666667,1,27,0,98,4,14,21,71,23,516,4,1350,995,9678,0.071103983,4,23,185,0,277,0.980277902,0.6,203,2.826530612,2.85915493,59,322,2,6298,410,43,849,78,5788,4778,65687,TRUE
2,0,2,2,0,6,31,6,0,10,0,14,0.666666667,2,6,2,4,0,0.5,0,1,1,17,0,11,10,16,7,3,2,323,274,650,0.022222222,0,18,53,0,43,0.946428571,0.909090909,37,2.529411765,2.3125,5,23,0,391,26,43,849,78,5788,4778,65687,FALSE
0,0,4,3,0,6,56,8,0,11,0,22,0.777777778,6,18,7,9,0,0.666666667,0,1,1,17,0,11,10,16,7,3,2,323,274,650,0.022222222,0,18,53,0,43,0.946428571,0.909090909,37,2.529411765,2.3125,5,23,0,391,26,43,849,78,5788,4778,65687,FALSE
1,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,29,0,106,25,29,4,0,1,1371,1371,4344,0,0,27,87,0,328,0.723214286,1,328,11.31034483,11.31034483,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
1,0,0,0,0,2,6,3,0,1,0,1,0,0,0,0,0,0,0,1,0,2,29,0,106,25,29,4,0,1,1371,1371,4344,0,0,27,87,0,328,0.723214286,1,328,11.31034483,11.31034483,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
1,0,0,0,0,2,6,3,0,1,0,1,0,0,0,0,0,0,0,1,0,2,29,0,106,25,29,4,0,1,1371,1371,4344,0,0,27,87,0,328,0.723214286,1,328,11.31034483,11.31034483,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
1,0,0,0,0,1,4,1,0,2,0,1,0,0,0,0,0,0,0,1,0,2,29,0,106,25,29,4,0,1,1371,1371,4344,0,0,27,87,0,328,0.723214286,1,328,11.31034483,11.31034483,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
0,1,0,0,1,1,4,1,0,0,0,1,1,1,2,1,1,0,1,0,1,0,25,0,11,14,24,6,0,1,312,304,670,0.833333333,0,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
1,1,0,0,5,2,16,2,0,3,0,6,1,2,4,3,2,0,1,0,1,0,25,0,11,14,24,6,0,1,312,304,670,0.833333333,0,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
0,0,0,0,0,2,7,2,0,1,0,3,1,0,0,2,0,0,0,0,1,0,25,0,11,14,24,6,0,1,312,304,670,0.833333333,0,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
0,0,0,0,0,2,9,4,0,1,0,2,1,0,0,1,0,0,0,1,8,0,32,0,2,1,24,11,0,1,590,550,72,0.191666667,0,3,34,0,174,0.7771261,0.578947368,166,5.4375,6.916666667,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
4,0,0,0,0,1,3,1,0,4,0,4,0,1,2,0,1,0,1,1,8,0,32,0,2,1,24,11,0,1,590,550,72,0.191666667,0,3,34,0,174,0.7771261,0.578947368,166,5.4375,6.916666667,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
3,2,0,0,1,2,11,3,0,5,0,5,0,0,0,0,0,0,0,0,0,0,24,0,22,0,24,2,0,1,669,669,0,0,2,1,24,0,251,1,0.923076923,251,10.45833333,10.45833333,5,33,0,943,34,4,48,1,245,233,6694,FALSE
9,1,1,1,1,1,12,1,0,9,0,18,0.888888889,0,1,8,0,0,0,0,0,2,2,0,0,0,2,8,0,2,76,76,8,1,8,2,3,0,2,2,0.2,2,1,1,32,40,0,1690,42,4,48,1,245,233,6694,FALSE
3,3,0,0,3,1,5,1,0,3,0,6,1,0,0,3,0,0,0,0,0,0,2,0,0,0,2,3,0,1,22,22,0,1,3,0,2,1,2,2,0.4,2,1,1,32,40,0,1690,42,4,48,1,245,233,6694,FALSE
5,2,0,0,2,1,7,1,0,5,0,10,1,0,0,5,0,0,0,0,0,0,1,0,0,0,1,5,0,1,20,20,0,1,5,1,1,0,1,0,0.166666667,1,1,1,32,40,0,1690,42,4,48,1,245,233,6694,FALSE
1,0,1,1,0,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,31,0,173,4,31,2,0,1,828,828,1106,0,0,36,44,0,213,0.666666667,1,213,6.870967742,6.870967742,3,54,0,1422,54,4,48,1,245,233,6694,FALSE
1,0,7,4,0,2,12,3,0,3,0,11,0.125,0,0,1,0,0,0,0,0,0,31,0,173,4,31,2,0,1,828,828,1106,0,0,36,44,0,213,0.666666667,1,213,6.870967742,6.870967742,3,54,0,1422,54,4,48,1,245,233,6694,FALSE
1,0,2,1,0,1,9,1,0,5,0,8,0.333333333,2,4,1,2,0,1,0,0,0,31,0,173,4,31,2,0,1,828,828,1106,0,0,36,44,0,213,0.666666667,1,213,6.870967742,6.870967742,3,54,0,1422,54,4,48,1,245,233,6694,FALSE
0,0,0,0,0,3,10,3,0,1,0,4,1,0,0,3,0,0,0,0,0,0,21,0,44,31,21,17,0,1,569,569,764,1,0,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,FALSE
1,0,0,0,0,1,3,1,0,1,0,1,0,1,2,0,1,0,1,0,0,0,21,0,44,31,21,17,0,1,569,569,764,1,0,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,FALSE
1,0,0,0,0,1,4,1,0,1,0,1,0,1,2,0,1,0,1,0,0,0,21,0,44,31,21,17,0,1,569,569,764,1,0,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,FALSE
0,0,5,1,0,5,40,10,0,2,0,16,0.583333333,4,14,7,8,0,0.5,1,0,2,29,0,106,25,29,4,0,1,1371,1371,4344,0,0,27,87,0,328,0.723214286,1,328,11.31034483,11.31034483,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
1,0,43,12,0,5,96,20,0,12,0,56,0.022727273,0,0,1,0,0,0,0,0,0,10,0,96,1,10,3,0,1,243,243,16,1,0,28,12,0,47,0.481481481,1,47,4.7,4.7,8,97,1,2639,106,4,48,1,245,233,6694,TRUE
1,0,14,1,0,5,104,33,0,11,0,26,0.066666667,1,2,1,1,0,1,0,0,0,5,0,14,1,5,1,0,1,174,174,10,0.1,0,1,6,0,45,0.75,1,45,9,9,5,33,0,943,34,4,48,1,245,233,6694,TRUE
1,0,56,2,0,6,523,139,0,25,0,105,0.3,7,38,24,19,0,0.368421053,1,0,2,29,0,106,25,29,4,0,1,1371,1371,4344,0,0,27,87,0,328,0.723214286,1,328,11.31034483,11.31034483,8,97,1,2639,106,4,48,1,245,233,6694,TRUE
2,0,83,8,0,6,257,75,0,16,0,101,0.023529412,3,10,2,5,0,0.6,0,0,0,31,0,173,4,31,2,0,1,828,828,1106,0,0,36,44,0,213,0.666666667,1,213,6.870967742,6.870967742,3,54,0,1422,54,4,48,1,245,233,6694,TRUE
1,0,47,11,0,10,103,43,0,17,0,65,0.020833333,1,2,1,1,0,1,0,0,0,31,0,173,4,31,2,0,1,828,828,1106,0,0,36,44,0,213,0.666666667,1,213,6.870967742,6.870967742,3,54,0,1422,54,4,48,1,245,233,6694,TRUE
1,0,6,3,0,6,125,21,0,20,0,26,0,2,4,0,2,0,1,0,0,0,21,0,44,31,21,17,0,1,569,569,764,1,0,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,TRUE
0,1,0,0,1,1,4,1,0,0,0,2,0,1,2,0,1,0,1,4,83,0,161,2,10,16,78,47,26,2,1585,792,19816,0.134819533,0,36,296,0,174,0.986569149,0.490196078,89,1.080745342,1.141025641,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,1,4,1,0,0,0,1,1,0,1,1,0,0,0,1,3,0,17,1,0,1,14,2,0,1,146,120,263,0.466666667,0,6,29,1,17,0.65625,0.8125,14,1,1,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,1,4,1,0,0,0,1,0,1,2,0,1,0,1,1,82,0,171,-1,11,24,89,16,-1,2,1536,749,26311,0.00178215,0,46,285,2,198,0.993014706,-1,106,1.157894737,1.191011236,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,FALSE
3,0,1,1,0,2,16,2,0,4,0,4,0,3,10,0,5,0,0.6,0,0,0,5,1,2,3,5,1,2,2,55,55,58,0,0,6,13,0,6,1,1,6,1.2,1.2,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,FALSE
0,2,0,0,3,1,4,1,0,0,0,1,1,0,0,1,0,0,0,3,38,0,71,0,12,10,33,46,0,1,766,427,7564,0.072727273,1,27,145,2,92,0.992857143,0.442857143,53,1.295774648,1.606060606,74,1060,1,22173,1956,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,1,4,1,0,0,0,1,1,0,0,1,0,0,0,3,95,1,184,1,4,18,89,82,0,1,1790,920,40917,0.101365611,23,25,299,2,216,0.993869119,0.426470588,119,1.173913043,1.337078652,74,1060,1,22173,1956,66,1571,291,17113,11938,260912,FALSE
1,0,0,0,0,1,4,1,0,1,0,3,1,1,0,1,1,0,1,1,122,0,201,1,14,18,79,64,31,2,1849,791,30542,0.087762043,0,33,336,0,223,0.99046875,0.39,93,1.109452736,1.17721519,74,1060,1,22173,1956,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,1,4,1,0,0,0,1,1,2,4,1,2,0,1,2,25,0,62,0,1,5,37,17,0,1,619,394,5347,1,0,11,100,0,63,0.945033751,0.590163934,38,1.016129032,1.027027027,74,1060,1,22173,1956,66,1571,291,17113,11938,260912,FALSE
3,1,0,0,1,1,5,1,0,3,0,5,1,1,2,2,1,0,1,0,0,0,3,0,0,2,3,6,0,1,29,29,12,0,0,3,5,0,3,1.333333333,0,3,1,1,96,756,11,17329,801,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,1,30,30,24,1,0,5,6,0,4,0,1,4,2,2,96,756,11,17329,801,66,1571,291,17113,11938,260912,FALSE
1,1,0,0,1,1,6,1,0,2,0,5,1,0,0,3,0,0,0,1,93,0,148,2,27,41,55,67,61,3,1702,709,16808,0.162305149,12,64,312,0,195,0.989135953,0.339622642,80,1.317567568,1.454545455,70,686,5,18923,1266,66,1571,291,17113,11938,260912,FALSE
0,1,0,0,1,3,38,5,0,4,0,9,1,1,3,6,1,0,1,0,2,3,13,1,4,9,11,8,18,3,560,486,199,0.018181818,0,23,72,0,38,1.052083333,1,26,2.923076923,2.363636364,70,686,5,18923,1266,66,1571,291,17113,11938,260912,FALSE
0,5,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,-1,0,0,9,0,-1,-1,62,62,0,0,0,6,9,0,9,0,0,9,1,1,48,1247,93,18514,1653,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,1,4,1,0,0,0,1,1,0,1,1,0,0,0,1,13,0,33,0,2,3,20,10,25,2,295,178,1443,0,0,14,99,0,35,1,0.606060606,22,1.060606061,1.1,35,430,0,6490,660,66,1571,291,17113,11938,260912,FALSE
2,0,0,0,0,3,38,5,0,11,0,11,0,0,0,0,0,0,0,0,0,0,11,1,30,9,11,11,46,2,610,610,418,0.177777778,0,42,129,0,87,0.9,1,87,7.909090909,7.909090909,81,516,24,21006,599,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,1,4,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,3,0,0,2,2,1,19,2,36,30,23,0,0,8,28,0,3,1,0.666666667,2,1,1,81,516,24,21006,599,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,2,7,2,0,0,0,1,1,1,2,1,1,0,1,1,8,0,17,0,0,3,9,8,0,1,335,234,154,0.242424242,0,3,23,0,54,0.8828125,0.466666667,42,3.176470588,4.666666667,28,117,0,3056,160,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,1,4,1,0,0,0,1,1,0,0,1,0,0,0,1,40,1,97,2,42,32,57,40,61,3,1622,1230,8741,0.104240766,13,55,247,0,229,0.969791667,0.376623377,182,2.360824742,3.192982456,12,88,0,2918,201,66,1571,291,17113,11938,260912,FALSE
1,2,1,1,2,2,20,3,0,3,0,5,0.5,3,6,1,4,0,0.75,0,0,28,4,0,1,30,4,1,0,1,340,340,288,1,0,3,35,0,7,0.333333333,1,7,1.75,1.75,37,41,2,1045,75,66,1571,291,17113,11938,260912,FALSE
