NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,MeMCL_method,CDISP_method,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOPA_type,CBO_type,RFC_type,NOC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,is_long_parameters_list
1,2,1,1,2,1,4,1,0,1,0,3,0.5,0,1,1,0,0,0,0,0,0,2,1,0,0,2,1,0,2,11,11,5,1,1,2,3,0,2,1,0.666666667,2,1,1,32,40,0,1690,42,4,48,1,245,233,6694,FALSE
1,0,2,1,0,1,12,1,0,6,0,9,0.333333333,2,6,1,3,0,0.666666667,0,0,0,31,0,173,4,31,2,0,1,828,828,1106,0,0,36,44,0,213,0.666666667,1,213,6.870967742,6.870967742,3,54,0,1422,54,4,48,1,245,233,6694,FALSE
1,0,0,0,0,1,4,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,31,0,173,4,31,2,0,1,828,828,1106,0,0,36,44,0,213,0.666666667,1,213,6.870967742,6.870967742,3,54,0,1422,54,4,48,1,245,233,6694,FALSE
0,0,11,1,0,2,48,13,0,3,0,17,0.214285714,12,24,3,12,0,1,0,0,0,21,0,44,31,21,17,0,1,569,569,764,1,0,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,FALSE
0,0,0,0,0,3,10,3,0,1,0,4,1,0,0,3,0,0,0,0,0,0,21,0,44,31,21,17,0,1,569,569,764,1,0,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,FALSE
1,0,0,0,0,3,15,3,0,7,0,7,0,1,2,0,1,0,1,0,0,0,21,0,44,31,21,17,0,1,569,569,764,1,0,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,FALSE
1,0,0,0,0,1,3,1,0,1,0,1,0,1,2,0,1,0,1,0,0,0,21,0,44,31,21,17,0,1,569,569,764,1,0,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,FALSE
5,0,9,2,0,4,48,10,0,6,0,17,0.166666667,1,6,2,3,0,0.333333333,1,0,2,29,0,106,25,29,4,0,1,1371,1371,4344,0,0,27,87,0,328,0.723214286,1,328,11.31034483,11.31034483,8,97,1,2639,106,4,48,1,245,233,6694,TRUE
4,1,0,0,1,1,4,1,0,4,0,5,1,0,1,1,0,0,0,0,0,0,2,0,0,0,2,1,0,2,14,14,3,1,1,1,3,0,2,2,0.666666667,2,1,1,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
4,1,0,0,1,1,3,1,0,4,0,4,0,0,1,0,0,0,0,0,0,0,4,0,0,0,4,0,15,4,18,18,24,1,0,1,9,0,4,0,1,4,1,1,8,97,1,2639,106,4,48,1,245,233,6694,TRUE
3,0,0,0,0,1,3,1,0,3,0,3,0,0,1,0,0,0,0,0,0,0,4,0,0,0,4,0,15,4,18,18,24,1,0,1,9,0,4,0,1,4,1,1,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
3,1,0,0,1,2,14,2,0,6,0,9,1,1,2,3,1,0,1,0,1,0,25,0,11,14,24,6,0,1,312,304,670,0.833333333,0,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,97,1,2639,106,4,48,1,245,233,6694,TRUE
4,1,0,0,1,2,14,2,0,7,0,10,1,1,2,3,1,0,1,0,1,0,25,0,11,14,24,6,0,1,312,304,670,0.833333333,0,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,97,1,2639,106,4,48,1,245,233,6694,TRUE
4,1,0,0,1,2,14,2,0,7,0,10,1,1,2,3,1,0,1,0,1,0,25,0,11,14,24,6,0,1,312,304,670,0.833333333,0,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,97,1,2639,106,4,48,1,245,233,6694,TRUE
3,0,0,0,0,2,19,2,0,7,0,10,1,2,6,3,3,0,0.666666667,0,1,0,25,0,11,14,24,6,0,1,312,304,670,0.833333333,0,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,97,1,2639,106,4,48,1,245,233,6694,TRUE
3,1,0,0,1,1,5,1,0,3,0,5,1,0,0,2,0,0,0,0,0,0,6,1,0,0,6,1,14,3,50,50,0,1,0,0,6,1,13,0.6,1,13,2.166666667,2.166666667,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
5,1,0,0,4,1,11,1,0,6,0,13,1,0,0,7,0,0,0,1,8,0,32,0,2,1,24,11,0,1,590,550,72,0.191666667,0,3,34,0,174,0.7771261,0.578947368,166,5.4375,6.916666667,8,97,1,2639,106,4,48,1,245,233,6694,TRUE
3,0,0,0,0,1,3,1,0,3,0,0,0,0,0,0,0,0,0,1,8,0,32,0,2,1,24,11,0,1,590,550,72,0.191666667,0,3,34,0,174,0.7771261,0.578947368,166,5.4375,6.916666667,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
4,0,0,0,0,1,3,1,0,4,0,4,0,1,2,0,1,0,1,1,8,0,32,0,2,1,24,11,0,1,590,550,72,0.191666667,0,3,34,0,174,0.7771261,0.578947368,166,5.4375,6.916666667,8,97,1,2639,106,4,48,1,245,233,6694,TRUE
3,2,0,0,1,2,11,3,0,5,0,5,0,0,0,0,0,0,0,0,0,0,24,0,22,0,24,2,0,1,669,669,0,0,2,1,24,0,251,1,0.923076923,251,10.45833333,10.45833333,5,33,0,943,34,4,48,1,245,233,6694,FALSE
3,1,1,1,1,1,5,1,0,3,0,6,0.666666667,0,1,2,0,0,0,0,0,1,1,0,0,0,1,2,0,2,23,23,3,1,2,2,2,0,1,0,0.333333333,1,1,1,32,40,0,1690,42,4,48,1,245,233,6694,FALSE
4,2,0,0,2,1,6,1,0,4,0,8,1,0,0,4,0,0,0,0,0,0,1,0,0,0,1,4,0,1,16,16,0,1,4,0,1,0,1,0,0.2,1,1,1,32,40,0,1690,42,4,48,1,245,233,6694,TRUE
3,2,1,1,2,1,5,1,0,3,0,6,0.666666667,0,1,2,0,0,0,0,0,0,1,0,0,0,1,2,0,2,11,11,3,1,2,2,2,0,1,0,0.333333333,1,1,1,32,40,0,1690,42,4,48,1,245,233,6694,FALSE
4,2,0,0,2,1,6,1,0,4,0,8,1,0,0,4,0,0,0,0,0,0,1,0,0,0,1,4,0,1,16,16,0,1,4,0,1,0,1,0,0.2,1,1,1,32,40,0,1690,42,4,48,1,245,233,6694,TRUE
3,3,0,0,3,1,5,1,0,3,0,6,1,0,0,3,0,0,0,0,0,0,2,0,0,0,2,3,0,1,22,22,0,1,3,0,2,1,2,2,0.4,2,1,1,32,40,0,1690,42,4,48,1,245,233,6694,FALSE
3,2,1,1,2,1,5,1,0,3,0,6,0.666666667,0,1,2,0,0,0,0,0,1,1,0,0,0,1,2,0,2,32,32,3,1,2,2,2,0,1,0,0.333333333,1,1,1,32,40,0,1690,42,4,48,1,245,233,6694,FALSE
5,2,0,0,2,1,7,1,0,5,0,10,1,0,0,5,0,0,0,0,0,0,1,0,0,0,1,5,0,1,20,20,0,1,5,1,1,0,1,0,0.166666667,1,1,1,32,40,0,1690,42,4,48,1,245,233,6694,TRUE
3,0,4,1,0,3,26,8,0,5,0,10,0.2,1,2,1,1,0,1,0,0,0,31,0,173,4,31,2,0,1,828,828,1106,0,0,36,44,0,213,0.666666667,1,213,6.870967742,6.870967742,3,54,0,1422,54,4,48,1,245,233,6694,FALSE
9,1,1,1,1,1,12,1,0,9,0,18,0.888888889,0,1,8,0,0,0,0,0,2,2,0,0,0,2,8,0,2,76,76,8,1,8,2,3,0,2,2,0.2,2,1,1,32,40,0,1690,42,4,48,1,245,233,6694,TRUE
2,1,0,0,1,1,6,1,0,2,0,3,1,0,2,1,0,0,0,1,2,0,10,2,5,3,8,5,48,2,115,95,74,0.035714286,1,23,81,0,11,0.977777778,0.666666667,9,1.1,1.125,74,1060,1,22173,1956,66,1571,291,17113,11938,260912,FALSE
1,0,1,1,0,2,16,3,0,1,0,9,0.833333333,3,6,5,3,0,1,1,6,0,17,-1,4,5,11,6,-1,2,181,127,270,0.104761905,0,12,29,4,20,0.9375,-1,14,1.176470588,1.272727273,74,1060,1,22173,1956,66,1571,291,17113,11938,260912,FALSE
0,0,1,1,0,1,4,1,0,0,0,4,0,1,2,0,1,0,1,1,122,0,201,1,14,18,79,64,31,2,1849,791,30542,0.087762043,0,33,336,0,223,0.99046875,0.39,93,1.109452736,1.17721519,74,1060,1,22173,1956,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,2,11,2,0,1,0,1,0,1,2,0,1,0,1,3,5,0,10,1,5,4,5,7,0,1,131,79,88,0.047619048,1,7,17,1,13,0.984126984,0.25,7,1.3,1.4,74,1060,1,22173,1956,66,1571,291,17113,11938,260912,FALSE
0,11,0,0,19,1,4,1,0,0,0,1,1,0,0,1,0,0,0,1,5,1,16,1,1,4,11,10,0,1,401,347,64,0.351648352,1,4,22,0,47,0.886666667,0.6,38,2.9375,3.454545455,96,756,11,17329,801,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,1,5,1,0,0,0,2,1,0,0,2,0,0,0,0,1,2,52,0,3,6,51,12,0,1,619,613,560,0.032156863,4,5,63,0,106,0.968954248,0.888888889,105,2.038461538,2.058823529,96,756,11,17329,801,66,1571,291,17113,11938,260912,FALSE
1,13,0,0,13,2,9,2,0,1,0,2,1,1,2,1,1,0,1,1,2,0,28,-1,0,1,26,2,-1,1,188,162,54,0.005291005,0,25,29,2,29,0.962962963,-1,27,1.035714286,1.038461538,48,1247,93,18514,1653,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,1,4,1,0,0,0,1,1,0,0,1,0,0,0,0,2,0,5,3,1,0,3,4,4,3,85,50,17,0.5,0,5,13,0,8,0.9375,0.5,4,1.6,1.333333333,48,1247,93,18514,1653,66,1571,291,17113,11938,260912,FALSE
1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,4,0,13,-1,7,0,9,7,-1,-1,121,96,0,0,7,4,13,0,13,1.083333333,0,9,1,1,48,1247,93,18514,1653,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,1,4,1,0,0,0,1,1,0,1,1,0,0,0,1,15,0,51,-1,0,1,36,1,-1,1,277,183,1879,0.431020408,0,18,85,1,52,0.36,-1,37,1.019607843,1.027777778,48,1247,93,18514,1653,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,-1,0,0,11,0,-1,-1,103,103,0,0,0,8,11,0,11,0,0,11,1,1,7,56,11,966,80,66,1571,291,17113,11938,260912,FALSE
0,1,0,0,1,1,8,1,0,0,0,2,1,0,0,2,0,0,0,0,1,0,4,0,4,4,3,8,0,1,116,53,106,1,0,5,17,0,14,1.166666667,1,3,3.5,1,46,268,6,8188,296,66,1571,291,17113,11938,260912,FALSE
1,0,3,1,0,2,24,4,0,2,0,5,0,1,2,0,1,0,1,0,5,5,35,0,96,49,30,33,47,2,2656,2459,9148,0.258064516,3,84,275,0,262,0.961675579,0.4,231,7.485714286,7.7,81,516,24,21006,599,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,1,5,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,2,0,0,3,1,34,3,23,23,0,1,0,6,46,0,3,0,1,3,1,1,24,157,1,2316,198,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,1,4,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,30,1,4,4,30,2,0,1,269,269,963,0.86453202,0,15,60,0,33,0.568965517,1,33,1.1,1.1,21,154,3,3573,263,66,1571,291,17113,11938,260912,FALSE
3,0,0,0,0,5,26,7,0,5,0,6,1,2,6,1,3,0,0.666666667,0,3,1,79,0,5,70,76,8,28,2,1527,1481,12421,0.078947368,0,133,185,2,231,0.951923077,0.953125,225,2.924050633,2.960526316,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,FALSE
3,1,0,0,1,1,11,1,0,3,0,5,1,1,2,2,1,0,1,1,1,0,8,1,1,9,7,3,0,1,92,57,106,0.285714286,0,12,21,0,11,0.857142857,0.857142857,7,1.375,1,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,FALSE
3,0,2,1,0,3,40,5,0,11,0,13,0,2,10,0,5,0,0.4,0,0,0,5,1,3,2,5,1,2,2,107,107,62,0,0,5,13,0,13,1,1,13,2.6,2.6,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,FALSE
3,1,0,0,1,1,8,1,0,3,0,3,0,0,1,0,0,0,0,1,3,0,16,2,11,4,13,0,111,2,214,177,210,0,0,43,195,0,27,0,0.666666667,23,1.6875,1.769230769,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,FALSE
3,1,0,0,1,1,11,1,0,3,0,9,1,0,4,6,0,0,0,1,5,0,16,1,22,9,11,7,0,1,214,184,805,0.384615385,0,18,52,1,28,0.866666667,0.5,23,1.75,2.090909091,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,FALSE
3,0,1,1,0,2,20,4,0,4,0,4,0,1,4,0,2,0,0.5,0,0,0,5,1,1,1,5,1,2,2,71,71,34,0,0,5,11,0,11,1,1,11,2.2,2.2,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,FALSE
3,1,0,0,1,1,6,2,0,4,0,5,0,0,0,0,0,0,0,0,0,1,45,0,2,6,45,16,0,1,930,930,1002,0.127906977,13,5,61,0,97,0.982954545,0.74,97,2.155555556,2.155555556,96,756,11,17329,801,66,1571,291,17113,11938,260912,FALSE
